title,rating,director,genres
Projeto Flórida,7.417,Sean Baker,Drama
Timbuktu,6.98,Abderrahmane Sissako,"Drama, Guerra"
Frenzy,3.8,Jose Montesinos,"Terror, Thriller, Cinema TV"
DAYS,0.0,Evan Garde,Drama
O Ato De Matar,7.7,Joshua Oppenheimer,Documentário
De humani corporis fabrica,7.321,Véréna Paravel,Documentário
Maborosi,7.303,Hirokazu Koreeda,Drama
E.T.: O Extraterrestre,7.519,Steven Spielberg,"Ficção científica, Aventura, Família, Fantasia"
Apocalypse Now,8.279,Francis Ford Coppola,"Drama, Guerra"
Nunca Raramente Às vezes Sempre,7.166,Eliza Hittman,Drama
"Noivo Neurótico, Noiva Nervosa",7.749,Woody Allen,"Comédia, Drama, Romance"
O Senhor dos Anéis: A Sociedade do Anel,8.415,Peter Jackson,"Aventura, Fantasia, Ação"
Quiz Show: A Verdade dos Bastidores,7.269,Robert Redford,"História, Drama, Mistério"
Leviathan,5.947,George P. Cosmatos,"Aventura, Terror, Thriller, Ficção científica"
Leviathan,5.947,George P. Cosmatos,"Aventura, Terror, Thriller, Ficção científica"
Leviathan,5.947,George P. Cosmatos,"Aventura, Terror, Thriller, Ficção científica"
Leviathan,5.947,George P. Cosmatos,"Aventura, Terror, Thriller, Ficção científica"
Leviathan,5.947,George P. Cosmatos,"Aventura, Terror, Thriller, Ficção científica"
Leviathan,5.947,George P. Cosmatos,"Aventura, Terror, Thriller, Ficção científica"
Leviathan,5.947,George P. Cosmatos,"Aventura, Terror, Thriller, Ficção científica"
Leviathan,5.947,George P. Cosmatos,"Aventura, Terror, Thriller, Ficção científica"
Leviathan,5.947,George P. Cosmatos,"Aventura, Terror, Thriller, Ficção científica"
Menus-Plaisirs - Les Troisgros,8.2,Frederick Wiseman,Documentário
As Harmonias de Werckmeister,7.9,Béla Tarr,Drama
Toy Story 3,7.799,Lee Unkrich,"Animação, Família, Comédia"
O Souvenir,6.055,Joanna Hogg,"Romance, Drama"
Isto é Spinal Tap,7.4,Rob Reiner,"Música, Comédia"
Os Bons Companheiros,8.462,Martin Scorsese,"Drama, Crime"
Zona de Interesse,7.143,Jonathan Glazer,"Drama, História"
O Peso do Silêncio,7.822,Joshua Oppenheimer,"História, Documentário"
Tower,7.6,Keith Maitland,"Animação, Crime, Documentário"
Burning,7.0,Eva Orner,Documentário
Drive My Car,7.414,Ryusuke Hamaguchi,Drama
Moolaadé,7.086,Ousmane Sembène,Drama
Conto de Verão,7.4,Éric Rohmer,"Romance, Drama, Comédia"
Saint Omer,6.318,Alice Diop,"Drama, Crime"
ᐊᑕᓈᕐᔪᐊᑦ,6.985,Zacharias Kunuk,"Fantasia, Drama"
Los Angeles: Cidade Proibida,7.796,Curtis Hanson,"Crime, Mistério, Thriller"
Time,6.881,Garrett Bradley,Documentário
Time,6.881,Garrett Bradley,Documentário
Time,6.881,Garrett Bradley,Documentário
Time,6.881,Garrett Bradley,Documentário
A Igualdade é Branca,7.46,Krzysztof Kieślowski,"Comédia, Drama, Mistério"
Gavagai,6.5,Rob Tregenza,Drama
"Uma Fábrica de Pão, Parte 2: Caminhe Comigo um Pouco",6.3,Patrick Wang,"Comédia, Drama"
O Vencedor,7.113,Peter Yates,"Drama, Comédia"
Encontros e Desencontros,7.393,Sofia Coppola,"Drama, Romance"
Além da Vida,6.301,Agnieszka Wojtowicz-Vosloo,"Drama, Terror, Mistério, Thriller"
Filho de Saul,7.146,László Nemes,"Guerra, Drama, Thriller"
Adoráveis Mulheres,7.881,Greta Gerwig,"Drama, Romance, História"
Adoráveis Mulheres,7.881,Greta Gerwig,"Drama, Romance, História"
Adoráveis Mulheres,7.881,Greta Gerwig,"Drama, Romance, História"
Adoráveis Mulheres,7.881,Greta Gerwig,"Drama, Romance, História"
Adoráveis Mulheres,7.881,Greta Gerwig,"Drama, Romance, História"
Adoráveis Mulheres,7.881,Greta Gerwig,"Drama, Romance, História"
Adoráveis Mulheres,7.881,Greta Gerwig,"Drama, Romance, História"
