title,rating,director,genres
Sombra Lunar,6.17,Jim Mickle,"Ficção científica, Thriller"
Sombra Lunar,6.17,Jim Mickle,"Ficção científica, Thriller"
Sombra Lunar,6.17,Jim Mickle,"Ficção científica, Thriller"
Como Fera Encurralada,7.1,Claude Sautet,Crime
Vulcões: A Tragédia de Katia e Maurice Krafft,7.516,Sara Dosa,Documentário
Todos a Bordo,6.576,Spike Lee,Drama
76 Days,0.0,Joe Wein,Documentário
Shin Ultraman,7.2,Shinji Higuchi,"Ação, Ficção científica"
O Último Concerto de Rock,7.636,Martin Scorsese,"Documentário, Música"
Crescendo Juntas,7.27,Kelly Fremon Craig,"Comédia, Drama"
Os Caçadores de Trufas,7.7,Michael Dweck,Documentário
Filhos da Esperança,7.612,Alfonso Cuarón,"Drama, Ação, Thriller, Ficção científica"
Judas e o Messias Negro,7.346,Shaka King,"Drama, História"
Nos Bastidores da Notícia,6.7,James L. Brooks,"Comédia, Romance"
Revanche,7.15,Götz Spielmann,"Crime, Drama, Romance"
O Homem Sem Passado,7.432,Aki Kaurismäki,"Drama, Comédia, Romance"
American Movie,7.6,Chris Smith,"Documentário, Comédia"
Maridos e Esposas,7.017,Woody Allen,"Comédia, Drama, Romance"
Depois da Tempestade,6.058,Emma Jean Sutherland,"Cinema TV, Romance, Drama"
Moonrise Kingdom,7.694,Wes Anderson,"Comédia, Drama, Romance"
Calle 54,7.6,Fernando Trueba,"Documentário, Música"
Cavalo Dinheiro,7.2,Pedro Costa,Drama
Close your eyes,0.0,Minkyou Yoo,
Close your eyes,0.0,Minkyou Yoo,
Close your eyes,0.0,Minkyou Yoo,
Close your eyes,0.0,Minkyou Yoo,
沿江而上,7.333,Yung Chang,Documentário
"Adeus, Minha Concubina",7.947,陈凯歌,Drama
High Hopes,0.0,Ron Jäger,Drama
Alexandre McQueen,7.512,Ian Bonhôte,Documentário
O Corcel Negro,7.062,Carroll Ballard,"Família, Aventura"
Mãe Terra,6.3,Savanah Leaf,Drama
Fora de Série,7.0,Olivia Wilde,Comédia
Sangue Selvagem,6.25,John Huston,"Comédia, Drama"
Escrevendo com Fogo,7.328,Sushmit Ghosh,"Documentário, História"
Ascensão,6.792,Jessica Kingdon,Documentário
Lantana,6.6,Ray Lawrence,"Crime, Drama, Mistério"
Reality,6.443,Tina Satter,"Drama, Thriller"
Reality,6.443,Tina Satter,"Drama, Thriller"
Reality,6.443,Tina Satter,"Drama, Thriller"
Reality,6.443,Tina Satter,"Drama, Thriller"
Reality,6.443,Tina Satter,"Drama, Thriller"
Reality,6.443,Tina Satter,"Drama, Thriller"
Reality,6.443,Tina Satter,"Drama, Thriller"
Reality,6.443,Tina Satter,"Drama, Thriller"
Reality,6.443,Tina Satter,"Drama, Thriller"
Os Amigos de Eddie Coyle,7.25,Peter Yates,"Crime, Drama, Thriller"
Serafina,6.8,Martin Provost,"História, Drama"
49 Up,7.344,Michael Apted,Documentário
120 Batimentos Por Minuto,7.7,Robin Campillo,Drama
O Clube da Felicidade e da Sorte,7.129,Wayne Wang,Drama
A Sorte Grande,7.014,Michael Morris,Drama
Beleza Americana,8.019,Sam Mendes,Drama
Harmonium,6.6,Koji Fukada,Drama
"Kagemusha, a Sombra do Samurai",7.809,Akira Kurosawa,"Ação, Drama, História, Guerra"
Blade Runner: O Caçador de Andróides,7.939,Ridley Scott,"Ficção científica, Drama, Thriller"
Coração de Cachorro,6.59,Laurie Anderson,Documentário
A Honra do Poderoso Prizzi,6.376,John Huston,"Romance, Comédia, Crime"
Atraídos Pelo Perigo,6.0,Peter Werner,"Ação, Drama, Crime"
Atraídos Pelo Perigo,6.0,Peter Werner,"Ação, Drama, Crime"
Atraídos Pelo Perigo,6.0,Peter Werner,"Ação, Drama, Crime"
Atraídos Pelo Perigo,6.0,Peter Werner,"Ação, Drama, Crime"
Atraídos Pelo Perigo,6.0,Peter Werner,"Ação, Drama, Crime"
Atraídos Pelo Perigo,6.0,Peter Werner,"Ação, Drama, Crime"
Atraídos Pelo Perigo,6.0,Peter Werner,"Ação, Drama, Crime"
Atraídos Pelo Perigo,6.0,Peter Werner,"Ação, Drama, Crime"
Atraídos Pelo Perigo,6.0,Peter Werner,"Ação, Drama, Crime"
Todos os Homens do Presidente,7.67,Alan J. Pakula,"Drama, História, Mistério, Thriller"
Lagaan: A Coragem de um Povo,7.259,Ashutosh Gowariker,"Aventura, Romance, Drama"
Longe do Paraíso,7.039,Todd Haynes,"Drama, Romance"
A Feiticeira da Guerra,6.578,Kim Nguyen,"Drama, Guerra"
Toy Story 4,7.494,Josh Cooley,"Família, Aventura, Animação, Comédia, Fantasia"
Darwin's Nightmare,6.8,Hubert Sauper,Documentário
Aliens: O Resgate,7.945,James Cameron,"Ação, Thriller, Ficção científica"
My Winnipeg,6.866,Guy Maddin,"Documentário, Comédia, Drama"
On The Record: A Verdade Vem À Tona,6.7,Kirby Dick,Documentário
A Fita Branca,7.499,Michael Haneke,"Drama, Mistério"
In My Room,6.0,Mati Diop,Drama
Mishima: Uma Vida em Quatro Tempos,7.8,Paul Schrader,Drama
Em um Bairro de Nova York,7.193,Jon M. Chu,"Drama, Romance"
Gosto de Sangue,7.249,Joel Coen,"Crime, Drama, Thriller"
"Oslo, 31 de Agosto",7.464,Joachim Trier,Drama
A Bruxa,6.963,Robert Eggers,"Drama, Mistério, Terror, História"
Looper: Assassinos do Futuro,6.885,Rian Johnson,"Ação, Thriller, Ficção científica"
Graduation,5.7,Michael Mayer,"Comédia, Crime, Drama"
Kubo e as Cordas Mágicas,7.6,Travis Knight,"Animação, Aventura, Família"
A Real Pain,0.0,Jesse Eisenberg,"Comédia, Drama"
O Outro Lado da Esperança,6.972,Aki Kaurismäki,"Comédia, Drama"
A Vastidão da Noite,6.55,Andrew Patterson,"Drama, Mistério, Ficção científica, Thriller"
Momma's Man,6.2,Azazel Jacobs,Drama
Antiga Alegria,6.343,Kelly Reichardt,Drama
Você Nunca Esteve Realmente Aqui,6.558,Lynne Ramsay,"Crime, Drama, Thriller"
Em Nome do Pai,7.905,Jim Sheridan,Drama
Sombras da Vida,7.105,David Lowery,"Drama, Fantasia"
Ballast,7.13,Lance Hammer,Drama
Volver,7.47,Pedro Almodóvar,"Comédia, Drama, Romance"
The Square: A Arte da Discórdia,6.762,Ruben Östlund,Drama
The Square: A Arte da Discórdia,6.762,Ruben Östlund,Drama
The Square: A Arte da Discórdia,6.762,Ruben Östlund,Drama
The Square: A Arte da Discórdia,6.762,Ruben Östlund,Drama
The Square: A Arte da Discórdia,6.762,Ruben Östlund,Drama
The Square: A Arte da Discórdia,6.762,Ruben Östlund,Drama
The Square: A Arte da Discórdia,6.762,Ruben Östlund,Drama
The Square: A Arte da Discórdia,6.762,Ruben Östlund,Drama
The Square: A Arte da Discórdia,6.762,Ruben Östlund,Drama
As Viúvas,6.495,Steve McQueen,"Crime, Thriller"
Love After Love,5.7,Russell Harbaugh,Drama
Sinônimos,5.8,Nadav Lapid,"Comédia, Drama"
Boys State,7.1,Jesse Moss,Documentário
早春,7.519,Yasujiro Ozu,"Drama, Romance"
Homicídio,6.2,David Mamet,"Drama, Crime"
Museum Hours,6.9,Jem Cohen,Drama
Nadia Murad: de Sobrevivente a Ativista,6.6,Alexandria Bombach,Documentário
Garotos em Ponto de Bala,6.9,Michael Ritchie,"Família, Comédia"
Razão e Sensibilidade,7.4,李安,"Drama, Romance"
Os Descendentes,6.844,Alexander Payne,"Comédia, Drama"
O Primeiro Homem,7.047,Damien Chazelle,"História, Drama"
Momento Inesquecível,6.717,Bill Forsyth,"Comédia, Drama"
O Exterminador do Futuro,7.66,James Cameron,"Ação, Thriller, Ficção científica"
Distant,6.0,Will Speck,"Ficção científica, Comédia, Drama"
Expresso do Amanhã,6.905,Bong Joon-Ho,"Ação, Ficção científica, Drama"
Simplesmente Feliz,6.579,Mike Leigh,"Comédia, Drama"
Lassie,6.4,Charles Sturridge,"Aventura, Drama, Família"
Shrek,7.744,Andrew Adamson,"Animação, Comédia, Fantasia, Aventura, Família"
Dave Chappelle's Block Party,6.752,Michel Gondry,"Comédia, Documentário, Música"
Vítor ou Vitória?,7.253,Blake Edwards,"Música, Comédia, Romance"
Our Time Machine,8.0,S. Leo Chiang,"Documentário, Drama, Família"
Le cas Pinochet,6.8,Patricio Guzmán,Documentário
The Day I Became a Woman,6.1,Marziyeh Meshkiny,Drama
A Vida Depois,7.618,Megan Park,Drama
O Americano Tranquilo,6.5,Phillip Noyce,"Romance, Thriller, Drama, Guerra"
Weiner,7.319,Josh Kriegman,Documentário
石门,7.0,Huang Ji,Drama
Iraque em Fragmentos,6.588,James Longley,Documentário
Sobre Meninos e Lobos,7.74,Clint Eastwood,"Thriller, Crime, Drama, Mistério"
O Sucesso a Qualquer Preço,7.363,James Foley,"Crime, Drama, Mistério"
Star Wars: Episódio VIII - Os Últimos Jedi,6.796,Rian Johnson,"Aventura, Ação, Ficção científica"
A Enseada,7.928,Louie Psihoyos,Documentário
O Destino Mudou Sua Vida,7.3,Michael Apted,"Música, Drama"
Mutual Appreciation,5.9,Andrew Bujalski,"Drama, Comédia"
