id,titulo,nota,tipo de nota,diretor,generos
110,4 Minutos,6.9,0 a 10,Chris Kraus,"Drama, Música"
111,42: A História de uma Lenda,7.185,0 a 10,Brian Helgeland,Drama
112,47 Ronins,6.179,0 a 10,Carl Rinsch,"Drama, Ação, Fantasia"
113,48 Horas,6.682,0 a 10,Walter Hill,"Thriller, Ação, Comédia, Crime, Drama"
114,"48 Horas, Parte 2",5.978,0 a 10,Walter Hill,"Thriller, Ação, Comédia, Crime, Drama"
115,50 Greatest Harry Potter Moments,7.437,0 a 10,Diretor não encontrado,Documentário
116,50%,7.176,0 a 10,Jonathan Levine,"Comédia, Drama"
117,50대 묵은지 장모님의 유혹,8.7,0 a 10,김태훈,"Romance, Drama"
118,57 Segundos,6.127,0 a 10,Rusty Cundieff,"Thriller, Ficção científica, Ação"
119,6 Balas,6.2,0 a 10,Ernie Barbarash,"Thriller, Ação, Crime"
120,60 Minutos,6.764,0 a 10,Oliver Kienle,Ação
121,60 Segundos,6.432,0 a 10,Dominic Sena,"Ação, Crime, Thriller"
122,65: Ameaça Pré-Histórica,5.995,0 a 10,Bryan Woods,"Ação, Aventura, Ficção científica"
123,7 Desejos,5.7,0 a 10,John R. Leonetti,"Terror, Thriller, Fantasia"
124,7 Prisioneiros,7.056,0 a 10,Alexandre Moratto,"Drama, Crime"
125,71: Esquecido em Belfast,6.795,0 a 10,Yann Demange,"Thriller, Ação, Drama, Guerra"
126,72 Horas,7.079,0 a 10,Paul Haggis,"Romance, Drama, Thriller, Crime"
127,8 Mile: Rua das Ilusões,7.14,0 a 10,Curtis Hanson,"Drama, Música"
128,8 Segundos,7.268,0 a 10,John G. Avildsen,"Drama, Romance, Faroeste"
129,80 for Brady: Quatro Amigas e uma Paixão,6.424,0 a 10,Kyle Marvin,"Comédia, Drama"
130,82년생 김지영,7.337,0 a 10,Kim Do-young,Drama
131,8mm: Oito Milímetros,6.454,0 a 10,Joel Schumacher,"Thriller, Crime, Mistério"
132,9 ½ Semanas de Amor,6.114,0 a 10,Adrian Lyne,"Romance, Drama"
133,9 ½ Semanas de Amor 2,4.7,0 a 10,Anne Goursaud,"Drama, Romance"
134,90 Minutos no Paraíso,5.994,0 a 10,Michael Polish,Drama
135,91:an Karlsson,6.75,0 a 10,Hugo Bolander,Comédia
136,97 Minutos,4.728,0 a 10,Timo Vuorensola,"Ação, Thriller, Drama"
137,99 Luas de Paixão,4.5,0 a 10,Jan Gassmann,Drama
138,9: A Salvação,6.926,0 a 10,Shane Acker,"Ação, Aventura, Animação, Ficção científica, Thriller"
139,9to5: Days in Porn,5.815,0 a 10,Jens Hoffmann,Documentário
140,A 36ª Câmara de Shaolin,7.482,0 a 10,Lau Kar-leung,"Ação, Aventura"
141,A 5ª Onda,5.943,0 a 10,J Blakeson,"Ficção científica, Aventura, Ação"
142,A Abóbora Mágica,7.5,0 a 10,Frankie Chung,"Drama, Família, Fantasia"
143,A Academia do Sr. Kleks,6.3,0 a 10,Maciej Kawulski,"Fantasia, Aventura, Família"
144,A Aparição,6.363,0 a 10,Mike Marvin,"Ação, Ficção científica"
145,A Arte da Guerra,5.691,0 a 10,Christian Duguay,"Crime, Ação, Aventura"
146,A Arte de Amar,6.427,0 a 10,Recai Karagöz,"Romance, Ação, Drama"
147,A Assassina,6.2,0 a 10,John Badham,"Ação, Crime, Thriller"
148,A Assistente,6.289,0 a 10,Kitty Green,Drama
149,A Atração do Sexo,5.0,0 a 10,Tinto Brass,"Drama, Comédia"
150,A Autópsia,6.794,0 a 10,André Øvredal,"Terror, Mistério"
151,A Avó,5.835,0 a 10,Paco Plaza,"Drama, Terror"
152,A Babá,6.139,0 a 10,McG,"Comédia, Terror"
153,A Babá: O Chamado das Sombras,6.433,0 a 10,Svyatoslav Podgaevsky,Terror
154,A Babá: Rainha da Morte,6.352,0 a 10,McG,"Comédia, Terror"
155,A Bailarina,6.952,0 a 10,Lee Chung-hyun,"Ação, Aventura, Thriller"
156,A Balada de Buster Scruggs,7.14,0 a 10,Joel Coen,"Faroeste, Comédia, Drama"
157,A Balada do Pistoleiro,6.9,0 a 10,Robert Rodriguez,"Thriller, Ação, Crime"
158,A Baleia,7.856,0 a 10,Darren Aronofsky,Drama
159,A Barraca do Beijo,7.2,0 a 10,Vince Marcello,"Romance, Comédia"
160,A Barraca do Beijo 2,7.648,0 a 10,Vince Marcello,"Comédia, Romance"
161,A Barraca do Beijo 3,6.901,0 a 10,Vince Marcello,"Romance, Comédia"
162,A Batalha Esquecida,7.104,0 a 10,Matthijs van Heijningen Jr.,"Ação, Guerra, Aventura, História, Drama"
163,A Batalha da Grã-Bretanha,6.823,0 a 10,Guy Hamilton,"Guerra, História, Ação"
164,A Batalha de Argel,7.888,0 a 10,Gillo Pontecorvo,"Drama, Guerra, História"
165,A Batalha de Midway,6.626,0 a 10,Jack Smight,"Ação, Drama, História, Guerra"
166,A Batalha de Natal,6.1,0 a 10,Reginald Hudlin,"Comédia, Fantasia, Família"
167,A Batalha de Riddick,6.523,0 a 10,David Twohy,"Ação, Ficção científica"
168,A Batalha do Biscoito Pop-Tart,5.303,0 a 10,Jerry Seinfeld,"Comédia, História"
169,A Batalha do Rio da Prata,6.1,0 a 10,Michael Powell,"Drama, História, Guerra"
170,A Batalha dos Três Reinos,7.148,0 a 10,John Woo,"Aventura, Drama, História, Ação, Guerra"
171,A Batalha dos Três Reinos II,7.292,0 a 10,John Woo,"Ação, Aventura, Drama, História, Guerra"
172,A Batida Perfeita,7.012,0 a 10,Nisha Ganatra,"Romance, Comédia, Música, Drama"
173,A Bela Adormecida,6.952,0 a 10,Clyde Geronimi,"Fantasia, Animação, Romance, Família"
174,A Bela da Tarde,7.38,0 a 10,Luis Buñuel,"Drama, Romance"
175,A Bela e a Fera,4.3,0 a 10,Robert Tieman,"Família, Fantasia, Romance"
176,A Bela e a Fera: O Natal Encantado,6.217,0 a 10,Andrew Knight,"Animação, Família, Fantasia"
177,A Bela e o Bilionário,6.725,0 a 10,Brian Brough,"Cinema TV, Romance, Comédia"
178,A Beleza de um Dia,4.1,0 a 10, Andrew Haigh,"Drama, Fantasia, Comédia"
179,A Boa Metade,5.8,0 a 10,Robert Schwartzman,"Comédia, Drama"
180,A Bolha Assassina,6.757,0 a 10,Chuck Russell,"Terror, Ficção científica"
181,A Brigada do Diabo,6.3,0 a 10,Andrew V. McLaglen,"Ação, Drama, Guerra"
182,A Bruma Assassina,6.723,0 a 10,John Carpenter,Terror
183,A Bruxa,6.962,0 a 10,Robert Eggers,"Drama, Mistério, Terror, História"
184,A Bruxa de Blair,6.336,0 a 10,Daniel Myrick,"Terror, Mistério"
185,A Bruxa de Blair 2: O Livro das Sombras,4.292,0 a 10,Joe Berlinger,"Mistério, Thriller, Terror"
186,A Bruxa do Cabelo Branco do Reino Lunar,6.257,0 a 10,Jacob Cheung,Fantasia
187,A Bruxa do Gelo,4.4,0 a 10,Richard John Taylor,Terror
188,A Bruxa dos Mortos: Baghead,6.595,0 a 10,Alberto Corredor,Terror
189,A Busca de Groot,7.2,0 a 10,Kirsten Lepore,"Animação, Família, Comédia, Ficção científica"
190,A Busca pelo Ouro de Tom Sawyer,3.917,0 a 10,Kirk Harris,"Aventura, Família"
191,A Bíblia... No Início,7.261,0 a 10,John Huston,"Aventura, História, Drama"
192,A Bússola de Ouro,4.3,0 a 10,Chris Weitz,"Aventura, Fantasia"
193,A Cabana,7.484,0 a 10,Stuart Hazeldine,"Drama, Fantasia"
194,A Caixa,5.629,0 a 10,Richard Kelly,"Thriller, Ficção científica"
195,A Caminho da Lua,7.222,0 a 10,Glen Keane,"Animação, Aventura, Família, Fantasia"
196,A Caminho de Casa,7.369,0 a 10,Charles Martin Smith,"Drama, Aventura, Família"
197,A Carne,5.413,0 a 10,Marco Ferreri,"Drama, Romance"
198,A Carta,7.3,0 a 10,William Wyler,"Crime, Drama"
199,A Cartada Final,6.695,0 a 10,Frank Oz,"Ação, Crime, Thriller, Mistério"
200,A Casa Amaldiçoada,5.451,0 a 10,Jan de Bont,"Terror, Thriller, Fantasia, Mistério"
201,A Casa Assassina,5.7,0 a 10,William Butler,"Terror, Thriller"
202,A Casa Gucci,4.1,0 a 10, Ridley Scott,"História, Drama, Crime"
203,A Casa Monstro,6.687,0 a 10,Gil Kenan,"Animação, Comédia, Família, Fantasia"
204,A Casa Mórbida,0.0,0 a 10,Danielle Krudy,"Terror, Thriller"
205,A Casa Profunda,6.059,0 a 10,Alexandre Bustillo,Terror
206,A Casa Que Jack Construiu,7.1,0 a 10,Lars von Trier,"Drama, Terror, Crime, Thriller"
207,A Casa Sombria,6.612,0 a 10,David Bruckner,"Drama, Terror, Mistério, Thriller"
208,A Casa da Colina,5.586,0 a 10,William Malone,Terror
209,A Casa da Noite Eterna,6.7,0 a 10,John Hough,"Terror, Mistério"
210,A Casa das Coelhinhas,5.656,0 a 10,Fred Wolf,"Romance, Comédia"
211,A Casa de Cera,6.0,0 a 10,Jaume Collet-Serra,"Mistério, Terror, Thriller"
212,A Casa de Vidro,5.906,0 a 10,Daniel Sackheim,"Drama, Thriller"
213,A Casa de Vidro 2,5.4,0 a 10,Steve Antin,"Drama, Thriller"
214,A Casa do Espanto,6.114,0 a 10,Steve Miner,"Comédia, Terror, Fantasia"
215,A Casa do Lago,7.024,0 a 10,Alejandro Agresti,"Drama, Mistério, Romance"
216,A Casa do Medo - Incidente em Ghostland,7.376,0 a 10,Pascal Laugier,"Terror, Mistério, Thriller"
217,A Casa do Terror,6.689,0 a 10,Scott Beck,"Terror, Thriller"
218,A Casa dos 1000 Corpos,6.207,0 a 10,Rob Zombie,Terror
219,A Casa dos Espíritos,6.89,0 a 10,Bille August,"Romance, Drama"
220,A Casa dos Maus Espíritos,6.779,0 a 10,William Castle,"Terror, Mistério"
221,A Casa dos Mortos Vivos,6.234,0 a 10,Lucio Fulci,"Terror, Mistério"
222,A Casa dos Prazeres,6.1,0 a 10,Anissa Bonnefont,"Drama, Comédia, Fantasia, Terror"
223,A Casa que Pingava Sangue,6.313,0 a 10,Peter Duffell,"Terror, Mistério"
224,A Caverna,4.0,0 a 10,Sharon Maguire,"Ficção científica, Aventura"
225,A Caça,7.1,0 a 10,Louis Lagayette,"Terror, Thriller"
226,A Caça ao Outubro Vermelho,4.5,0 a 10, John McTiernan,"Ação, Aventura, Thriller"
227,A Caçada,6.648,0 a 10,Craig Zobel,"Ação, Thriller, Terror"
228,A Caçada ao Outubro Vermelho,7.383,0 a 10,John McTiernan,"Ação, Aventura, Thriller"
229,A Cela,6.274,0 a 10,Tarsem Singh,"Terror, Ficção científica, Thriller"
230,A Centopéia Humana,5.241,0 a 10,Tom Six,Terror
231,A Centopéia Humana 2,4.808,0 a 10,Tom Six,"Drama, Terror, Crime"
232,A Centopéia Humana 3 (Sequência Final),3.8,0 a 10,Tom Six,"Terror, Comédia"
233,A Chamada,6.676,0 a 10,Nimród Antal,"Thriller, Ação, Aventura"
234,A Chance,5.766,0 a 10,Michael Chapman,"Romance, Drama"
235,A Chave,6.0,0 a 10,Tinto Brass,"Drama, Romance"
236,A Chave Mestra,6.622,0 a 10,Iain Softley,"Drama, Terror, Mistério, Thriller"
237,A Chave Mágica,6.447,0 a 10,Frank Oz,"Aventura, Família, Fantasia"
238,A Chefinha,6.887,0 a 10,Tina Gordon,"Comédia, Fantasia, Romance"
239,A Chegada,4.3,0 a 10,Mike Nichols,"Drama, Ficção científica, Mistério"
240,A Chinesa,6.947,0 a 10,Jean-Luc Godard,"Drama, Comédia"
241,A Chorona,6.417,0 a 10,Jayro Bustamante,"Thriller, Terror, Drama"
242,A Cidade das Sombras,4.4,0 a 10, Gary Fleder,"Terror, Ficção científica"
243,A Cidade dos Amaldiçoados,6.083,0 a 10,John Carpenter,"Thriller, Terror, Ficção científica"
244,A Cidade dos Mortos,6.412,0 a 10,John Llewellyn Moxey,"Mistério, Terror"
245,A Cidadela dos Robinsons,6.9,0 a 10,Ken Annakin,"Aventura, Família"
246,A Cinco Passos de Você,8.265,0 a 10,Justin Baldoni,"Romance, Drama"
247,A Coisa,6.217,0 a 10,Matthijs van Heijningen Jr.,"Terror, Ficção científica, Mistério"
248,A Colheita do Mal,5.7,0 a 10,Stephen Hopkins,Terror
249,A Colina Escarlate,6.65,0 a 10,Guillermo del Toro,"Terror, Romance"
250,A Colônia,5.419,0 a 10,Jeff Renfroe,"Ação, Ficção científica, Thriller"
251,A Comilança,7.176,0 a 10,Marco Ferreri,"Drama, Comédia"
252,A Companhia dos Lobos,6.3,0 a 10,Neil Jordan,"Terror, Fantasia"
253,A Conexão Francesa,7.1,0 a 10,Cédric Jimenez,"Thriller, Crime, Ação"
254,A Conquista da Honra,6.9,0 a 10,Clint Eastwood,"Guerra, Drama, História"
255,A Conquista do Oeste,7.012,0 a 10,Henry Hathaway,Faroeste
256,A Conquista do Planeta dos Macacos,6.175,0 a 10,J. Lee Thompson,"Ação, Ficção científica"
257,A Cor Púrpura,4.3,0 a 10, Steven Spielberg,Drama
258,A Cor Que Caiu do Espaço,6.019,0 a 10,Richard Stanley,"Terror, Ficção científica, Mistério, Thriller"
259,A Cor da Noite,5.7,0 a 10,Richard Rush,"Romance, Mistério, Thriller"
260,A Cor do Dinheiro,6.855,0 a 10,Martin Scorsese,Drama
261,A Coragem de Lassie,5.7,0 a 10,Fred M. Wilcox,"Família, Aventura, Drama"
262,A Corrente do Bem,7.329,0 a 10,Mimi Leder,Drama
263,A Corrida Maluca,4.5,0 a 10,Jim Drake,"Comédia, Ação"
264,A Corrida do Século,7.089,0 a 10,Blake Edwards,"Comédia, Aventura"
265,A Costela de Adão,7.1,0 a 10,George Cukor,"Comédia, Drama, Romance"
266,A Cratera,6.7,0 a 10,Kyle Patrick Alvarez,"Ficção científica, Ação, Aventura, Família"
267,A Creche do Papai,5.896,0 a 10,Steve Carr,"Comédia, Família"
268,A Criada,8.216,0 a 10,Park Chan-wook,"Thriller, Drama, Romance"
269,A Criatura do Cemitério,5.281,0 a 10,Ralph S. Singleton,Terror
270,A Cruz de Ferro,7.079,0 a 10,Sam Peckinpah,"Drama, Ação, História, Guerra"
271,A Crônica Francesa,7.1,0 a 10,Wes Anderson,"Drama, Comédia"
272,A Culpa é das Estrelas,4.1,0 a 10, Josh Boone,"Romance, Drama"
273,A Cura,6.334,0 a 10,Gore Verbinski,"Terror, Mistério, Ficção científica"
274,A Dama de Ferro,4.3,0 a 10,Phyllida Lloyd,"História, Drama"
275,A Dama de Shanghai,7.352,0 a 10,Diretor não encontrado,"Mistério, Crime, Thriller"
276,A Dama e o Vagabundo,7.121,0 a 10,Hamilton Luske,"Família, Animação, Romance"
277,A Dama e o Vagabundo II: As Aventuras de Banzé,6.4,0 a 10,Darrell Rooney,"Família, Animação, Romance, Aventura"
