id,titulo,nota,tipo de nota,diretor,generos
1524,Aviões,5.902,0 a 10,Klay Hall,"Animação, Família, Aventura, Comédia"
1525,Aviões 2: Heróis do Fogo ao Resgate,6.189,0 a 10,Bobs Gannaway,"Animação, Comédia, Aventura, Família"
1526,Awareness,5.701,0 a 10,Daniel Benmayor,"Ficção científica, Mistério, Thriller, Ação"
1527,Aya e a Bruxa,5.924,0 a 10,Goro Miyazaki,"Animação, Fantasia, Família"
1528,Azrael,0.0,0 a 10,E.L. Katz,"Ação, Terror"
1529,Azul É A Cor Mais Quente,7.089,0 a 10,Abdellatif Kechiche,"Romance, Drama"
1530,Azumi,6.8,0 a 10,Ryûhei Kitamura,"Aventura, Drama, Ação, Thriller, Romance"
1531,Aşk Filmi,0.0,0 a 10,Deniz Denizciler,"Drama, Romance"
1532,B13-U 13º Distrito - Ultimato,6.397,0 a 10,Patrick Alessandrin,"Ação, Thriller, Crime"
1533,B13: 13º Distrito,6.796,0 a 10,Pierre Morel,"Ação, Thriller, Ficção científica"
1534,"BARDO, Falsa Crônica de Algumas Verdades",6.974,0 a 10,Alejandro González Iñárritu,"Comédia, Drama"
1535,BIHTER: A FORBIDDEN PASSION,5.0,0 a 10,Mehmet Binay,"Drama, Romance"
1536,BLOOD THE LAST VAMPIRE,6.853,0 a 10,Hiroyuki Kitakubo,"Animação, Fantasia, Terror"
1537,BLUE GIANT,8.2,0 a 10,Yuzuru Tachikawa,"Animação, Drama, Música"
1538,BLUE LOCK O FILME -EPISÓDIO NAGI-,7.244,0 a 10,Shunsuke Ishikawa,"Animação, Ação, Drama"
1539,BTS: Yet To Come,8.156,0 a 10,Oh Yun-dong,"Música, Documentário"
1540,Baahubali 2: A Conclusão,7.43,0 a 10,S. S. Rajamouli,"Ação, Aventura, Fantasia"
1541,Baahubali: O Início,7.558,0 a 10,S. S. Rajamouli,"Ação, Aventura, Fantasia, Drama"
1542,"Babe, o Porquinho Atrapalhado",6.234,0 a 10,Chris Noonan,"Fantasia, Drama, Comédia, Família"
1543,"Babe, o Porquinho Atrapalhado na Cidade",5.601,0 a 10,George Miller,"Família, Aventura, Comédia, Drama"
1544,Babel,4.5,0 a 10,Alejandro González Iñárritu,Drama
1545,Babes,5.9,0 a 10,Pamela Adlon,Comédia
1546,Babilônia,7.398,0 a 10,Damien Chazelle,"Drama, Comédia"
1547,Baby Boy: O Dono da Rua,7.156,0 a 10,John Singleton,"Crime, Drama, Romance, Thriller"
1548,Baby Shark - O Grande Filme,6.7,0 a 10,Alan Foreman,"Animação, Família, Aventura, Comédia"
1549,Babygirl,0.0,0 a 10,Halina Reijn,"Drama, Thriller"
1550,Babylon 5: O Caminho,6.8,0 a 10,Matt Peters,"Animação, Ficção científica, Ação, Aventura"
1551,Babysitters de Luxo,5.99,0 a 10,David Ross,Drama
1552,Back to Black,6.732,0 a 10,Sam Taylor-Johnson,"Música, História, Drama"
1553,Bad Boys Para Sempre,7.139,0 a 10,Bilall Fallah,"Thriller, Ação, Crime"
1554,Bad Boys: Até o Fim,7.55,0 a 10,Adil El Arbi,"Ação, Crime, Thriller, Comédia"
1555,Bad Hair Day,6.468,0 a 10,Erik Canuel,"Comédia, Aventura, Cinema TV, Família"
1556,Bade Miyan Chote Miyan,5.9,0 a 10,Ali Abbas Zafar,"Ação, Ficção científica, Thriller"
1557,Bagman,0.0,0 a 10,Colm McCarthy,"Terror, Thriller"
1558,Bah Humduck! O Natal de Looney,7.2,0 a 10,Charles Visser,"Animação, Comédia, Família"
1559,Baik Punya Ah Long,6.0,0 a 10,Afdlin Shauki,"Comédia, Música"
1560,Baise-moi,4.823,0 a 10,Coralie Trinh Thi,"Crime, Drama, Romance, Thriller"
1561,Baki Hanma x Kengan Ashura,7.851,0 a 10,Toshiki Hirano,"Animação, Ação"
1562,Bala na Cabeça,7.574,0 a 10,John Woo,"Crime, Drama, Ação"
1563,Bambi,7.014,0 a 10,David Hand,"Animação, Drama, Família"
1564,Bambi 2,6.52,0 a 10,Brian Pimental,"Animação, Drama, Família"
1565,Bambi: The Reckoning,0.0,0 a 10,Dan Allen,Terror
1566,Bananas,6.7,0 a 10,Woody Allen,Comédia
1567,Bandida - A Número Um,6.333,0 a 10,João Wainer,"Ação, Crime, Drama"
1568,Bandidas,6.009,0 a 10,Joachim Rønning,"Ação, Comédia, Faroeste, Crime"
1569,Bandido,6.207,0 a 10,Allan Ungar,"Crime, Drama, Thriller"
1570,Bando à Parte,7.534,0 a 10,Jean-Luc Godard,"Crime, Drama, Comédia"
1571,Banidos,6.236,0 a 10,Daniel Byers,"Terror, Thriller"
1572,Banzé no Oeste,7.251,0 a 10,Mel Brooks,"Faroeste, Comédia"
1573,Barbarella,5.965,0 a 10,Roger Vadim,"Ficção científica, Aventura, Comédia, Fantasia"
1574,Barbie,4.7,0 a 10, Greta Gerwig,"Comédia, Aventura"
1575,Barbie - O Poder das Sereias,6.7,0 a 10,Ron Myrick,Animação
1576,Barbie 2,4.6,0 a 10, Greta Gerwig,"Animação, Família"
1577,Barbie Butterfly e a Princesa Fairy,6.888,0 a 10,William Lau,"Animação, Família, Fantasia"
1578,Barbie Butterfly: A Nova Aventura em Fairytopia,6.763,0 a 10,Conrad Helten,"Animação, Fantasia, Família"
1579,Barbie Fairytopia - A Magia do Arco-Íris,6.814,0 a 10,William Lau,"Animação, Família, Fantasia, Romance"
1580,Barbie Fairytopia: Mermaidia,6.9,0 a 10,Walter P. Martishius,"Animação, Família, Aventura, Fantasia"
1581,Barbie como Rapunzel,6.997,0 a 10,Owen Hurley,"Animação, Família"
1582,Barbie e As Três Mosqueteiras,7.29,0 a 10,William Lau,"Animação, Família"
1583,Barbie e Stacie ao Resgaste,6.7,0 a 10,Conrad Helten,"Animação, Família"
1584,Barbie e a Magia de Aladus,7.173,0 a 10,Greg Richardson,"Animação, Família, Romance"
1585,Barbie e as Agentes Secretas,7.001,0 a 10,Conrad Helten,"Ação, Animação, Família"
1586,Barbie e as Sapatilhas Mágicas,6.9,0 a 10,Owen Hurley,"Animação, Família"
1587,Barbie e o Castelo de Diamante,7.384,0 a 10,Gino Nichele,"Animação, Família"
1588,Barbie e o Segredo das Fadas,6.84,0 a 10,Terry Klassen,"Animação, Família, Fantasia"
1589,Barbie em A Princesa e a Plebéia,7.458,0 a 10,William Lau,"Animação, Família, Comédia"
1590,Barbie em a Canção de Natal,7.108,0 a 10,William Lau,"Animação, Família"
1591,Barbie em a Pequena Polegar,6.653,0 a 10,Conrad Helten,"Animação, Família"
1592,Barbie em a Princesa da Ilha,7.238,0 a 10,Greg Richardson,"Animação, Família"
1593,Barbie em as 12 Princesas Bailarinas,7.586,0 a 10,Greg Richardson,"Animação, Família"
1594,Barbie: A Princesa & A Popstar,7.145,0 a 10,Ezekiel Norton,"Família, Animação"
1595,Barbie: A Sereia das Pérolas,6.965,0 a 10,Ezekiel Norton,"Família, Animação"
1596,Barbie: Epic Road Trip,6.6,0 a 10,Conrad Helten,"Comédia, Família, Animação"
1597,Barbie: Escola de Princesas,7.492,0 a 10,Ezekiel Norton,"Família, Animação, Fantasia"
1598,Barbie: Lago dos Cisnes,6.998,0 a 10,Owen Hurley,"Animação, Família"
1599,Barbie: Moda e Magia,7.215,0 a 10,William Lau,"Família, Animação"
1600,Barbie: O Quebra-Nozes,6.855,0 a 10,Owen Hurley,"Animação, Família"
1601,Barbie: Vida de Sereia,7.2,0 a 10,Adam Wood,"Animação, Família, Fantasia"
1602,Barbie: Vida de Sereia 2,7.072,0 a 10,William Lau,"Animação, Família"
1603,"Bares, Bolos e Amizades",7.091,0 a 10,Trish Sie,"Romance, Comédia, Drama"
1604,Barra Pesada,6.0,0 a 10,Hype Williams,"Crime, Drama"
1605,Barrabás,6.8,0 a 10,Richard Fleischer,"História, Drama, Aventura"
1606,Barry Lyndon,8.007,0 a 10,Stanley Kubrick,"Drama, Romance, Guerra, História"
1607,Bartok o Magnífico,6.015,0 a 10,Gary Goldman,"Animação, Comédia, Família, Fantasia, Música"
1608,Basquete Shaolin: Águias das Quadras,5.896,0 a 10,Kevin Chu,"Ação, Aventura, Comédia"
1609,Bastardos Inglórios,4.7,0 a 10,Quentin Tarantino,"Drama, Thriller, Guerra"
1610,Batalha Aérea,7.149,0 a 10,Callum Burn,Guerra
1611,Batalha Real,7.3,0 a 10,Kinji Fukasaku,"Drama, Thriller, Ação"
1612,Batalha do Planeta dos Macacos,5.719,0 a 10,J. Lee Thompson,"Ação, Ficção científica"
1613,Batalha dos Impérios,6.362,0 a 10,Daniel Lee,"Aventura, História, Ação, Fantasia"
1614,Batalha no Céu,5.821,0 a 10,Carlos Reygadas,Drama
1615,Batalha por T.E.R.R.A.,6.131,0 a 10,Aristomenis Tsirbas,"Ação, Aventura, Animação, Ficção científica"
1616,Batem à Porta,6.291,0 a 10,M. Night Shyamalan,"Thriller, Mistério"
1617,Batendo na Porta do Céu,7.7,0 a 10,Thomas Jahn,"Comédia, Crime"
1618,Bater ou Correr,6.417,0 a 10,Tom Dey,"Aventura, Ação, Comédia, Faroeste"
1619,Bater ou Correr em Londres,6.129,0 a 10,David Dobkin,"Ação, Aventura, Comédia, Faroeste"
1620,Batismo de Sangue,6.292,0 a 10,Randall Emmett,Thriller
1621,Batman,7.2,0 a 10,Tim Burton,"Fantasia, Ação, Crime"
1622,Batman & Mr. Freeze: Abaixo de Zero,6.866,0 a 10,Boyd Kirkland,"Animação, Ação, Crime"
1623,Batman & Robin,4.359,0 a 10,Joel Schumacher,"Ação, Ficção científica, Aventura"
1624,Batman Begins,4.8,0 a 10,Christopher Nolan,"Ação, Crime, Drama"
1625,Batman Eternamente,5.431,0 a 10,Joel Schumacher,"Ação, Crime, Fantasia"
1626,Batman Ninja,5.799,0 a 10,Jumpei Mizusaki,"Animação, Ação, Ficção científica"
1627,Batman do Futuro: O Retorno do Coringa,7.304,0 a 10,Curt Geda,"Animação, Família, Ação, Ficção científica"
1628,Batman e Arlequina: Pancadas e Risadas,6.135,0 a 10,Sam Liu,"Aventura, Ação, Animação, Ficção científica, Comédia"
1629,Batman e Superman: Batalha dos Super Filhos,7.675,0 a 10,Matt Peters,"Animação, Ação, Ficção científica"
1630,Batman vs Superman: A Origem da Justiça,5.97,0 a 10,Zack Snyder,"Ação, Aventura, Fantasia"
1631,Batman vs. As Tartarugas Ninjas,7.1,0 a 10,Jake Castorena,"Animação, Ação, Ficção científica, Crime"
1632,Batman vs. Drácula,6.952,0 a 10,Michael Goguen,"Animação, Ação, Fantasia, Mistério"
1633,Batman: A Máscara do Fantasma,7.465,0 a 10,Bruce Timm,"Ação, Animação, Crime, Mistério, Drama"
1634,Batman: A Perdição Chegou a Gotham,6.6,0 a 10,Sam Liu,"Animação, Fantasia, Ação, Mistério"
1635,Batman: A Piada Mortal,6.587,0 a 10,Sam Liu,"Ação, Animação, Crime, Drama"
1636,Batman: Ataque ao Arkham,7.324,0 a 10,Ethan Spaulding,"Thriller, Animação, Ação, Crime"
1637,Batman: Contra o Capuz Vermelho,7.739,0 a 10,Brandon Vietti,"Ficção científica, Crime, Ação, Animação, Mistério"
1638,Batman: Morte em Família,7.078,0 a 10,Brandon Vietti,"Animação, Ação"
1639,Batman: O Cavaleiro das Trevas,8.516,0 a 10,Christopher Nolan,"Drama, Ação, Crime, Thriller"
1640,Batman: O Cavaleiro das Trevas Ressurge,7.781,0 a 10,Christopher Nolan,"Ação, Crime, Drama, Thriller"
1641,"Batman: O Cavaleiro das Trevas, Parte 1",7.728,0 a 10,Jay Oliva,"Ficção científica, Ação, Animação, Mistério"
1642,"Batman: O Cavaleiro das Trevas, Parte 2",7.919,0 a 10,Jay Oliva,"Ficção científica, Ação, Animação, Mistério"
1643,Batman: O Cavaleiro de Gotham,6.721,0 a 10,Futoshi Higashide,"Ficção científica, Animação, Ação, Crime, Thriller"
1644,Batman: O Homem Morcego,6.422,0 a 10,Leslie H. Martinson,"Ação, Comédia, Crime"
1645,Batman: O Longo Dia das Bruxas - Parte 2,7.423,0 a 10,Chris Palmer,"Animação, Mistério, Ação, Crime"
1646,Batman: O Mistério da Mulher-Morcego,6.644,0 a 10,Curt Geda,"Aventura, Fantasia, Animação, Ação, Ficção científica"
1647,Batman: O Retorno,6.928,0 a 10,Tim Burton,"Ação, Fantasia"
1648,Batman: Sangue Ruim,7.023,0 a 10,Jay Oliva,"Ficção científica, Ação, Animação"
1649,Battersea,0.0,0 a 10,John Anthony,Drama
1650,Battle for Saipan,5.7,0 a 10,Brandon Slagle,"Guerra, História, Ação"
1651,Battleship: A Batalha dos Mares,5.856,0 a 10,Peter Berg,"Thriller, Ação, Aventura, Ficção científica"
1652,Battlestar Galactica: O Plano,6.8,0 a 10,Edward James Olmos,"Ficção científica, Ação, Drama"
1653,Baywatch: S.O.S. Malibu,6.092,0 a 10,Seth Gordon,"Comédia, Ação, Crime"
1654,Beau Tem Medo,6.738,0 a 10,Ari Aster,"Comédia, Aventura, Fantasia"
1655,Beautiful Vampire: Amor Proibido,6.956,0 a 10,Jude Jung,"Romance, Fantasia, Drama, Família"
1656,Becket,7.162,0 a 10,Peter Glenville,"Drama, História"
1657,Bedspacer,3.9,0 a 10,Carlo Obispo,"Thriller, Drama"
1658,Bee Movie: A História de uma Abelha,6.028,0 a 10,Simon J. Smith,"Família, Animação, Aventura, Comédia"
1659,Beekeeper: Rede de Vingança,7.355,0 a 10,David Ayer,"Crime, Ação, Aventura, Thriller"
1660,Beethoven 2,5.503,0 a 10,Rod Daniel,"Família, Comédia"
1661,Beethoven 5,5.256,0 a 10,Mark Griffiths,"Família, Comédia"
1662,Beethoven: O Magnífico,5.802,0 a 10,Brian Levant,"Família, Comédia"
1663,Beezel,0.0,0 a 10,Aaron Fradkin,"Terror, Thriller"
1664,Before Dawn,6.389,0 a 10,Jordon Prince-Wright,"Guerra, Drama, História"
1665,Beijando Jessica Stein,6.0,0 a 10,Charles Herman-Wurmfeld,Comédia
1666,Beijos Que Matam,6.524,0 a 10,Gary Fleder,"Thriller, Crime, Mistério, Drama"
1667,Bela Luna,4.2,0 a 10,Mac Alejandre,Drama
1668,Bela Vingança,7.436,0 a 10,Emerald Fennell,"Thriller, Crime, Drama"
1669,Bela e Rebelde,6.736,0 a 10,Cinzia TH Torrini,"Música, Drama, História"
1670,Belas e Recatadas,6.36,0 a 10,Nida Manzoor,"Comédia, Ação, Drama"
1671,Beldade de 90 Quilos,6.784,0 a 10,Kim Yong-hwa,"Drama, Comédia, Romance"
1672,Beleza Americana,4.1,0 a 10, Sam Mendes,Drama
1673,Beleza Avassaladora 2,6.5,0 a 10,Jayprad Desai,"Mistério, Thriller, Romance"
1674,Beleza Negra,6.739,0 a 10,Caroline Thompson,"Família, Aventura, Drama"
1675,Beleza Oculta,7.231,0 a 10,David Frankel,"Drama, Romance"
1676,Belfast,4.7,0 a 10, Kenneth Branagh,"Drama, História"
1677,Believer 2,6.805,0 a 10,Baik,Thriller
1678,Belle,7.691,0 a 10,Mamoru Hosoda,"Animação, Ficção científica, Drama, Música"
1679,Belle épine,5.56,0 a 10,Rebecca Zlotowski,Drama
1680,Bellflower,6.0,0 a 10,Evan Glodell,"Ação, Drama, Romance"
1681,Belo Desastre,6.694,0 a 10,Roger Kumble,"Romance, Drama, Comédia"
1682,Belo Desastre: O Casamento,5.488,0 a 10,Roger Kumble,"Romance, Comédia, Drama"
1683,Below Her Mouth,6.821,0 a 10,April Mullen,"Drama, Romance"
1684,Bem-Vindo a Nova York,5.203,0 a 10,Abel Ferrara,Drama
1685,Bem-Vindos ao Clube,6.448,0 a 10,David Silverman,"Animação, Comédia"
1686,Bem-vindo à Selva,6.454,0 a 10,Peter Berg,"Aventura, Ação, Comédia, Thriller"
1687,Bem-vindos a Bordo,6.4,0 a 10,Emmanuel Marre,"Drama, Comédia"
1688,Ben 10: Corrida Contra o Tempo,5.8,0 a 10,Alex Winter,"Ação, Família, Ficção científica"
1689,Ben 10: Destruição Alienígena,6.3,0 a 10,Victor Cook,"Animação, Ficção científica, Família, Ação"
1690,Ben 10: Invasão Alienígena,6.13,0 a 10,Alex Winter,"Aventura, Ação"
1691,Ben 10: O Segredo do Omnitrix,7.4,0 a 10,Scooter Tidwell,"Animação, Ficção científica, Família"
1692,Ben-Hur,7.884,0 a 10,William Wyler,"História, Drama, Aventura, Ação"
1693,Bender: O Golpe Final,8.1,0 a 10,Igor Zaytsev,"Aventura, Comédia, Ação, Crime"
1694,Bender: O Império do Ouro,6.9,0 a 10,Igor Zaytsev,"Comédia, Aventura, Ação"
1695,Benedetta,6.629,0 a 10,Paul Verhoeven,"História, Drama, Romance"
1696,Benny & Joon - Corações em Conflito,7.019,0 a 10,Jeremiah S. Chechik,"Comédia, Drama"
1697,Bent,6.8,0 a 10,Sean Mathias,"Drama, História, Romance"
1698,Bernardo e Bianca,6.778,0 a 10,John Lounsbery,"Fantasia, Família, Animação, Aventura"
1699,"Berserk - A Era de Ouro, Ato 1: O Ovo do Rei Supremo",7.2,0 a 10,Toshiyuki Kubooka,"Animação, Ação, Aventura, Fantasia"
1700,"Berserk - A Era de Ouro, Ato 2: A Batalha de Doldrey",7.283,0 a 10,Toshiyuki Kubooka,"Animação, Ação, Aventura, Drama, Fantasia"
1701,"Berserk - A Era de Ouro, Ato 3: A Queda",7.665,0 a 10,Toshiyuki Kubooka,"Animação, Ação, Aventura, Drama, Fantasia"
1702,Besouro Azul,6.756,0 a 10,Ángel Manuel Soto,"Ação, Ficção científica, Aventura"
1703,Better Gay Sex,2.0,0 a 10,Steve Bulfield,Documentário
1704,Betty Blue,7.243,0 a 10,Jean-Jacques Beineix,"Drama, Romance"
1705,Beyond Utopia,8.1,0 a 10,Madeleine Gavin,"Documentário, História"
1706,Bharat,6.322,0 a 10,Ali Abbas Zafar,"Drama, Ação"
1707,Bichunmoo: A Saga de um Guerreiro,6.602,0 a 10,Kim Young-jun,"Drama, Ação, Fantasia"
1708,Bienvenidos al paraíso,0.0,0 a 10,Ani Alva Helfer,"Comédia, Romance"
1709,Big Brother,7.434,0 a 10,Kam Ka-Wai,"Ação, Drama, Comédia"
1710,"Big Pai, Big Filho",6.529,0 a 10,Jérémie Degruson,"Família, Animação, Comédia"
1711,"Big Pai, Big Filho 2",7.067,0 a 10,Jérémie Degruson,"Animação, Aventura, Família"
1712,Big Rage,0.0,0 a 10,Waymon Boone,
1713,Big Stan: Arrebentando na Prisão,6.6,0 a 10,Rob Schneider,"Comédia, Crime"
1714,Bikini Car Wash,4.6,0 a 10,Nimrod Zalmanowitz,Comédia
1715,Bilhete Premiado,5.125,0 a 10,Nora Ephron,"Comédia, Crime"
1716,Bill & Ted: Dois Loucos no Tempo,6.312,0 a 10,Peter Hewitt,"Aventura, Comédia, Ficção científica"
1717,Bill & Ted: Uma Aventura Fantástica,6.86,0 a 10,Stephen Herek,"Aventura, Comédia, Ficção científica"
1718,Billie Eilish: The World's A Little Blurry,8.363,0 a 10,R.J. Cutler,"Documentário, Música"
1719,Billy Elliot,4.5,0 a 10,Stephen Daldry,"Drama, Comédia, Música"
1720,Billy Madison: Um Herdeiro Bobalhão,6.179,0 a 10,Tamra Davis,Comédia
1721,Biquínis de Saint-Tropez,7.051,0 a 10,Jean Girault,Comédia
1722,Bird Box,6.84,0 a 10,Susanne Bier,"Terror, Thriller, Drama"
1723,Bird Box Barcelona,5.904,0 a 10,Àlex Pastor,"Thriller, Ficção científica, Terror"
1724,Birdman,4.7,0 a 10, Alejandro G. Iñárritu,Documentário
1725,Birdman ou (A Inesperada Virtude da Ignorância),7.466,0 a 10,Alejandro González Iñárritu,"Drama, Comédia"
1726,Bis hierhin und wie weiter?,0.0,0 a 10,Felix Maria Bühler,Documentário
1727,Bishoujo Senshi Sailor Moon S: Hearts in Ice,7.7,0 a 10,Hiroki Shibata,"Animação, Fantasia, Ação, Romance, Comédia"
1728,Bite the Bullet,6.3,0 a 10,Richard Brooks,"Ação, Faroeste, Aventura"
1729,Bitter Weeds,0.0,0 a 10,Reuben Hamlyn,Drama
1730,Biônicos,5.917,0 a 10,Afonso Poyart,"Ficção científica, Ação, Aventura"
1731,Black '47,6.557,0 a 10,Lance Daly,"Drama, Faroeste"
1732,Black Clover: A Espada do Rei Mago,8.147,0 a 10,Ayataka Tanemura,"Animação, Fantasia, Ação, Aventura"
1733,Black Mirror: Bandersnatch,6.77,0 a 10,David Slade,"Ficção científica, Mistério, Drama, Thriller, Cinema TV"
1734,Black Noise,5.4,0 a 10,Philippe Martinez,"Ação, Ficção científica, Terror, Thriller"
1735,Black Theta,0.0,0 a 10,Tim Connolly,"Terror, Comédia"
1736,Black Water: Perigo no Oceano,5.6,0 a 10,Pasha Patriki,"Ação, Thriller"
1737,BlackBerry,7.194,0 a 10,Matt Johnson,"Drama, Comédia, História"
1738,Blackadder Exclusive: The Whole Rotten Saga,8.0,0 a 10,Diretor não encontrado,"Comédia, Documentário"
1739,Blackest Darkness,5.5,0 a 10,Adam Hulin,"Drama, Terror"
1740,Blackfish: Fúria Animal,7.865,0 a 10,Gabriela Cowperthwaite,Documentário
1741,Blackout- Prisioneiros do Medo,5.401,0 a 10,Rigoberto Castañeda,"Terror, Thriller"
1742,Blade,0.0,0 a 10,Diretor não encontrado,Fantasia
1743,Blade II: O Caçador de Vampiros,6.5,0 a 10,Guillermo del Toro,"Fantasia, Terror, Ação, Thriller"
1744,Blade Runner 2036: Despontar do Nexus,6.889,0 a 10,Luke Scott,"Ficção científica, Thriller"
1745,Blade Runner 2048: Sem Escapatória,6.828,0 a 10,Luke Scott,"Ficção científica, Thriller, Ação"
1746,Blade Runner 2049,4.2,0 a 10, Denis Villeneuve,"Ficção científica, Drama"
1747,Blade Runner: Blecaute 2022,7.175,0 a 10,Shinichiro Watanabe,"Ação, Animação, Ficção científica"
1748,Blade Runner: O Caçador de Andróides,7.938,0 a 10,Ridley Scott,"Ficção científica, Drama, Thriller"
1749,Blade Violent - I violenti,4.57,0 a 10,Bruno Mattei,"Ação, Crime, Terror"
1750,Blade: O Caçador de Vampiros,6.799,0 a 10,Stephen Norrington,"Terror, Ação"
1751,Blade: Trinity,5.864,0 a 10,David S. Goyer,"Ação, Terror, Ficção científica"
1752,Bleach,6.615,0 a 10,Shinsuke Sato,"Ação, Fantasia, Aventura"
1753,Blitz,6.2,0 a 10,Elliott Lester,"Crime, Ação, Thriller"
1754,Blonde,6.0,0 a 10,Andrew Dominik,Drama
1755,Blonde Bait,4.8,0 a 10,Elmo Williams,"Crime, Ação, Aventura"
1756,Blonde Squad,6.0,0 a 10,Benny Tjandra,Ação
1757,BloodRayne,4.115,0 a 10,Uwe Boll,"Fantasia, Terror"
1758,Bloodshot,6.726,0 a 10,Dave Wilson,"Ação, Ficção científica, Aventura"
1759,Bloomington,6.644,0 a 10,Fernanda Cardoso,"Romance, Drama"
1760,Blow-Up: Depois Daquele Beijo,7.363,0 a 10,Michelangelo Antonioni,"Drama, Mistério, Thriller"
1761,Blue Jasmine,6.993,0 a 10,Woody Allen,Drama
1762,Blueberry: Desejo de Vingança,4.9,0 a 10,Jan Kounen,Faroeste
1763,Bluey: The Sign,10.0,0 a 10,Joe Brumm,"Animação, Família, Cinema TV"
1764,Blush,7.829,0 a 10,Joseph Mateo,"Animação, Romance, Ficção científica, Família"
1765,"Boa Noite, Mamãe!",6.255,0 a 10,Matt Sobel,"Terror, Thriller, Mistério"
1766,"Boa Sorte, Leo Grande",6.935,0 a 10,Sophie Hyde,"Romance, Drama"
1767,Bob Esponja Calça Quadrada apresenta: Zona das Marés,6.972,0 a 10,Sherm Cohen,"Animação, Comédia, Aventura"
1768,Bob Esponja: O Filme,7.0,0 a 10,Stephen Hillenburg,"Família, Animação, Comédia, Fantasia, Aventura"
1769,Bob Esponja: O Incrível Resgate,7.473,0 a 10,Tim Hill,"Família, Animação, Fantasia, Aventura, Comédia"
1770,Bob Esponja: Um Herói Fora D'Água,6.1,0 a 10,Paul Tibbitt,"Família, Aventura, Comédia, Fantasia, Animação"
1771,Bob Marley: One Love,6.849,0 a 10,Reinaldo Marcus Green,"Música, História, Drama"
1772,Bob's Burger: O Filme,7.0,0 a 10,Bernard Derriman,"Animação, Aventura, Comédia"
1773,Bobby,6.397,0 a 10,Emilio Estevez,Drama
1774,Bobeou Dançou,4.807,0 a 10,Damien Dante Wayans,"Música, Comédia, Ação"
1775,Bogieville,0.0,0 a 10,Sean Cronin,Terror
1776,Bohemian Rhapsody,4.5,0 a 10, Bryan Singer,"Música, Drama"
1777,Bokeh,5.387,0 a 10,Andrew Sullivan,"Drama, Ficção científica, Thriller"
1778,Boku ga Aishita Subete no Kimi e,6.6,0 a 10,Jun Matsumoto,"Animação, Romance, Ficção científica"
1779,Bollywood Queen,5.222,0 a 10,Jeremy Wooding,"Drama, Música, Romance"
1780,Bolt: Supercão,6.515,0 a 10,Chris Williams,"Animação, Família, Aventura, Comédia"
1781,"Bom Dia, Tristeza",6.624,0 a 10,Otto Preminger,"Drama, Romance"
1782,Bom Garoto,6.427,0 a 10,Viljar Bøe,"Terror, Thriller"
1783,Bom Trabalho,6.952,0 a 10,Claire Denis,Drama
1784,Bonecas Russas,6.663,0 a 10,Cédric Klapisch,"Comédia, Drama, Romance"
1785,Boneco de Neve,5.212,0 a 10,Tomas Alfredson,"Crime, Thriller"
1786,Boneco do Mal,5.957,0 a 10,William Brent Bell,"Terror, Mistério, Thriller"
1787,Bonequinha de Luxo,7.7,0 a 10,Blake Edwards,"Comédia, Romance, Drama"
1788,Bones and All,4.2,0 a 10, Luca Guadagnino,"Drama, Terror, Romance"
1789,"Bones, o Anjo das Trevas",4.8,0 a 10,Ernest R. Dickerson,"Terror, Thriller"
1790,Bonnie e Clyde: Uma Rajada de Balas,7.5,0 a 10,Arthur Penn,"Crime, Drama"
1791,Bons Companheiros,7.428,0 a 10,Larry Yang,"Ação, Comédia, Drama, Família"
1792,Bons Meninos,6.849,0 a 10,Gene Stupnitsky,Comédia
1793,Bons de Bico,5.876,0 a 10,Jimmy Hayward,"Animação, Comédia, Família"
1794,Boo 2! O Halloween de Madea,5.754,0 a 10,Tyler Perry,Comédia
1795,Boo! O Halloween de Madea,5.72,0 a 10,Tyler Perry,Comédia
1796,Booger,3.5,0 a 10,Mary Dauterman,"Comédia, Terror"
1797,Boogeyman: Seu Medo é Real,6.4,0 a 10,Rob Savage,"Terror, Thriller, Mistério"
1798,Boogie Nights,4.4,0 a 10,Paul Thomas Anderson,Drama
1799,Boogie Nights: Prazer Sem Limites,7.643,0 a 10,Paul Thomas Anderson,Drama
1800,Book of Dragons,6.7,0 a 10,Steve Hickner,"Fantasia, Animação, Ação, Comédia, Família"
1801,Borat - O Segundo Melhor Repórter do Glorioso País Cazaquistão Viaja à América,6.78,0 a 10,Larry Charles,Comédia
1802,Borat: Fita de Cinema Seguinte,6.5,0 a 10,Jason Woliner,Comédia
1803,Borderlands: O Destino do Universo Está em Jogo,5.838,0 a 10,Eli Roth,"Ação, Ficção científica, Comédia, Aventura, Thriller"
1804,Boruto: Naruto O Filme,7.6,0 a 10,Hiroyuki Yamashita,"Aventura, Ação, Animação, Comédia, Fantasia"
1805,Boso,5.0,0 a 10,Jon Red,Comédia
1806,Bottoms,6.717,0 a 10,Emma Seligman,Comédia
1807,Box Room,5.3,0 a 10,Michael Lathrop,"Ficção científica, Drama, Terror"
1808,Boyhood,4.5,0 a 10, Richard Linklater,Drama
1809,Boyka: O Imbatível,7.148,0 a 10,Todor Chapkanov,"Ação, Drama"
1810,Braddock 2: O Início da Missão,5.782,0 a 10,Lance Hool,"Ação, Guerra"
1811,Braddock: O Super Comando,5.847,0 a 10,Joseph Zito,"Ação, Aventura, Thriller, Guerra"
