titulo,nota,tipo de nota,diretor,generos
Alienoid,6.827,0 a 10,Choi Dong-hoon,"Ficção científica, Ação, Fantasia, Aventura"
Efeito Paradoxo,5.857,0 a 10,Scott Weintrob,"Ação, Thriller"
Sonic: O Filme,7.3,0 a 10,Jeff Fowler,"Ação, Ficção científica, Comédia, Família"
Um Tira da Pesada 4: Axel Foley,6.795,0 a 10,Mark Molloy,"Ação, Comédia, Crime"
O Corvo,7.535,0 a 10,Alex Proyas,"Fantasia, Ação, Thriller"
Thelma,7.102,0 a 10,Josh Margolin,"Ação, Comédia, Aventura"
Harry Potter e o Prisioneiro de Azkaban,8.019,0 a 10,Alfonso Cuarón,"Aventura, Fantasia"
Wonka,7.143,0 a 10,Paul King,"Comédia, Família, Fantasia"
De Volta ao Crime,6.436,0 a 10,Kyle Kauwika Harris,"Thriller, Drama, Ação, Crime"
Cenaze,3.0,0 a 10,Orçun Behram,"Terror, Romance, Thriller"
劇場版 推しが武道館いってくれたら死ぬ,6.0,0 a 10,Kentaro Otani,"Drama, Comédia"
地底怪物,4.667,0 a 10,Huang He,"Fantasia, Aventura"
Maze Runner: Correr ou Morrer,7.187,0 a 10,Wes Ball,"Ação, Mistério, Ficção científica, Thriller"
Nem Tudo é Negociável,6.035,0 a 10,Juan Taratuto,"Ação, Thriller, Comédia, Drama"
Corações de Ferro,7.535,0 a 10,David Ayer,"Guerra, Drama, Ação"
Deadpool,7.621,0 a 10,Tim Miller,"Ação, Aventura, Comédia"
Le Consentement,6.827,0 a 10,Vanessa Filho,"História, Drama"
Desespero Profundo,6.4,0 a 10,Claudio Fäh,"Thriller, Terror, Ação"
Kalikot,6.2,0 a 10,Artemio Abad,Drama
Batman: O Cavaleiro das Trevas Ressurge,7.781,0 a 10,Christopher Nolan,"Ação, Crime, Drama, Thriller"
O Dublê,7.176,0 a 10,David Leitch,"Ação, Comédia"
Homem-Aranha: De Volta ao Lar,7.337,0 a 10,Jon Watts,"Ação, Aventura, Ficção científica, Drama"
Os Vingadores: The Avengers,7.718,0 a 10,Joss Whedon,"Ficção científica, Ação, Aventura"
O Tarô da Morte,6.661,0 a 10,Spenser Cohen,Terror
365 Dias: Hoje,5.87,0 a 10,Barbara Białowąs,"Romance, Drama"
Venom: Tempo de Carnificina,6.795,0 a 10,Andy Serkis,"Ficção científica, Ação, Aventura"
American Dreamer,5.72,0 a 10,Paul Dektor,Comédia
The Round Up: No Way Out,7.236,0 a 10,Lee Sang-yong,"Ação, Crime, Comédia, Thriller"
Barbie,7.024,0 a 10,Greta Gerwig,"Comédia, Aventura"
Os Observadores,6.472,0 a 10,Ishana Night Shyamalan,"Terror, Fantasia, Mistério, Thriller"
Sirocco et le Royaume des courants d’air,8.5,0 a 10,Benoît Chieux,"Aventura, Animação, Família, Fantasia"
Coringa,8.156,0 a 10,Todd Phillips,"Crime, Thriller, Drama"
Unang Tikim,5.0,0 a 10,Roman Perez Jr.,"Romance, Drama"
Unang Tikim,5.0,0 a 10,Roman Perez Jr.,"Romance, Drama"
Oppenheimer,8.1,0 a 10,Christopher Nolan,"Drama, História"
Meu Malvado Favorito,7.244,0 a 10,Pierre Coffin,"Família, Animação, Comédia"
