titulo,nota,tipo de nota,diretor,generos
Slumber Party - O Massacre,5.563,0 a 10,Amy Holden Jones,"Terror, Comédia"
大室家 dear sisters,6.0,0 a 10,Naoyuki Tatsuwa,"Animação, Comédia"
내 학생의 엄마 4,0.0,0 a 10,Yoo Hae-jong,Romance
Passagem para a Índia,6.775,0 a 10,David Lean,"Drama, Aventura, História"
Evil - Raízes do mal,7.265,0 a 10,Mikael Håfström,Drama
Imagens do Além,5.551,0 a 10,Masayuki Ochiai,"Terror, Mistério, Thriller"
Os Donos da Noite,6.696,0 a 10,James Gray,"Drama, Crime, Thriller"
God: Serengeti,6.747,0 a 10,Neill Blomkamp,Comédia
O Filho do Ace Ventura,3.355,0 a 10,David Mickey Evans,"Comédia, Família, Aventura, Crime"
Fremont,6.33,0 a 10,Babak Jalali,"Comédia, Drama"
无名,6.3,0 a 10,Er Cheng,"Drama, Mistério, História, Ação"
A Morte Te Dá Parabéns 2,6.304,0 a 10,Christopher Landon,"Comédia, Terror, Ficção científica"
Antes da Dinastia,7.0,0 a 10,Andrew Hyatt,Drama
O Primeiro Assalto de Trem,6.672,0 a 10,Michael Crichton,"Thriller, Aventura, Drama, Crime"
O Jovem Mestre do Kung Fu,6.933,0 a 10,Jackie Chan,"Ação, Comédia"
Либерея: Охотники за сокровищами,6.226,0 a 10,Gleb Orlov,"Ação, Aventura"
A Seita Maligna,5.977,0 a 10,Jeremy Gillespie,"Mistério, Terror, Ficção científica"
Lady Libertine,5.5,0 a 10,Gérard Kikoïne,"Drama, Romance"
Mentes Que Brilham,6.6,0 a 10,Jodie Foster,"Drama, Família"
Ko to tamo peva?,7.6,0 a 10,Slobodan Šijan,"Drama, Comédia, Aventura"
LEGO Frozen: Luzes Congelantes,6.568,0 a 10,Diretor não encontrado,"Animação, Família"
O Sequestro do Papa,7.408,0 a 10,Marco Bellocchio,"Drama, História"
Identidade,7.184,0 a 10,James Mangold,"Mistério, Thriller"
A Dama e o Vagabundo,7.219,0 a 10,Charlie Bean,"Família, Romance, Comédia"
Neon Genesis Evangelion: Morte e Renascimento,7.386,0 a 10,Hideaki Anno,"Animação, Drama, Ficção científica"
Fome de Viver,6.675,0 a 10,Tony Scott,"Terror, Drama"
Chorus Line: Em Busca da Fama,6.264,0 a 10,Richard Attenborough,"Drama, Música"
Há Algo no Celeiro,6.29,0 a 10,Magnus Martens,"Terror, Comédia, Fantasia"
Crash: Estranhos Prazeres,6.4,0 a 10,David Cronenberg,"Thriller, Drama"
Renaissance: Um Filme de Beyoncé,8.611,0 a 10,Beyoncé,"Música, Documentário"
Revelações,6.011,0 a 10,Robert Benton,"Drama, Romance"
"Amante, Stalker e Mortal",6.8,0 a 10,Sam Hobkinson,"Documentário, Crime"
Inimigo em Casa,5.766,0 a 10,Harold Becker,"Thriller, Crime, Mistério"
Bem-vindos a Bordo,6.4,0 a 10,Emmanuel Marre,"Drama, Comédia"
Monster High: Assombrada,7.4,0 a 10,Dan Fraga,"Animação, Família, Fantasia"
O Grande Ditador,8.309,0 a 10,Charlie Chaplin,"Comédia, Guerra"
Lúcia e o Sexo,6.657,0 a 10,Julio Medem,"Drama, Romance"
Os Muitos Santos de Newark: Uma História Soprano,6.3,0 a 10,Alan Taylor,"Crime, Drama"
Reality,6.443,0 a 10,Tina Satter,"Drama, Thriller"
Rebeldia Indomável,7.7,0 a 10,Stuart Rosenberg,"Ação, Drama, Crime"
"DuckTales, O Filme: O Tesouro da Lâmpada Perdida",6.7,0 a 10,Bob Hathcock,"Aventura, Animação, Família, Comédia, Fantasia"
Lara Croft: Tomb Raider - A Origem da Vida,5.746,0 a 10,Jan de Bont,"Ação, Aventura, Fantasia, Thriller"
O Homem das Cavernas,6.5,0 a 10,Carl Gottlieb,"Comédia, Aventura"
Mistério no Mediterrâneo,6.28,0 a 10,Kyle Newacheck,"Ação, Comédia, Mistério"
Elefante,7.062,0 a 10,Gus Van Sant,"Crime, Drama"
Felicidade,7.5,0 a 10,Todd Solondz,"Comédia, Drama"
A Hora do Espanto,7.029,0 a 10,Tom Holland,"Comédia, Terror"
Evereste,6.821,0 a 10,Baltasar Kormákur,"Aventura, Drama, História"
Euforia,6.3,0 a 10,Lisa Langseth,Drama
Possessão,6.045,0 a 10,Ole Bornedal,"Terror, Thriller, Drama"
Divisão de Homicídios,5.222,0 a 10,Ron Shelton,"Ação, Aventura, Comédia, Thriller"
Wizards,6.1,0 a 10,Ralph Bakshi,"Animação, Fantasia, Ficção científica"
"Ela Dança, Eu Danço",6.875,0 a 10,Anne Fletcher,"Música, Drama, Romance, Crime"
Puntos suspensivos,0.0,0 a 10,David Marqués,Thriller
Amizade de Férias,7.105,0 a 10,Clay Tarver,Comédia
O Atirador: O Fim de um Assassino,6.188,0 a 10,Kaare Andrews,Ação
Torrentes de Paixão,6.776,0 a 10,Henry Hathaway,"Thriller, Crime"
Alita - Anjo de Combate,6.839,0 a 10,Hiroshi Fukutomi,"Animação, Ação, Ficção científica"
O Morro dos Ventos Uivantes,6.6,0 a 10,Peter Kosminsky,"Drama, Romance"
The Date,0.0,0 a 10,Amy Hodge,Drama
Não Volte Para Casa!,6.8,0 a 10,BJ Verot,"Terror, Ficção científica"
The Architecture of Love,7.2,0 a 10,Teddy Soeriaatmadja,"Drama, Romance"
色情男女,6.6,0 a 10,Derek Yee Tung-Sing,"Comédia, Drama"
Amor Sem Escalas,6.869,0 a 10,Jason Reitman,"Drama, Romance"
Uma Aventura Lunática,6.4,0 a 10,Ali Samadi Ahadi,"Animação, Aventura, Comédia"
Inimigo do Estado,7.04,0 a 10,Tony Scott,"Ação, Drama, Thriller"
Kronos: O Fim Da Humanidade?,3.641,0 a 10,Robert Kouba,Ficção científica
Crocodilos: A Morte Te Espera,5.2,0 a 10,Andrew Traucki,"Terror, Ação, Aventura"
Um Conto Quase de Fadas,6.721,0 a 10,Ken Kwapis,"Comédia, Romance"
Dragon Tiger Gate,6.617,0 a 10,Wilson Yip,"Ação, Thriller"
Relação Indecente,5.5,0 a 10,Katt Shea,"Thriller, Drama"
A Origem do Medo,5.407,0 a 10,Andrew Cumming,"Terror, Thriller, Aventura"
O Corajoso Ratinho Despereaux,6.099,0 a 10,Robert Stevenhagen,"Aventura, Animação, Família"
Monsternado,5.3,0 a 10,Tyler-James,"Terror, Ficção científica"
Paraíso: Amor,6.852,0 a 10,Ulrich Seidl,Drama
年少日記,7.938,0 a 10,Nick Cheuk,Drama
Em Chamas,7.392,0 a 10,Lee Chang-dong,"Mistério, Drama, Thriller"
Barbie Fairytopia - A Magia do Arco-Íris,6.814,0 a 10,William Lau,"Animação, Família, Fantasia, Romance"
Um Conto de Natal,7.409,0 a 10,Clive Donner,"Drama, Fantasia, Cinema TV, Família"
A Casa do Espanto,6.114,0 a 10,Steve Miner,"Comédia, Terror, Fantasia"
Crônicas de Natal: Parte Dois,6.473,0 a 10,Chris Columbus,"Família, Fantasia, Aventura, Comédia"
Missão Madrinha de Casamento,6.52,0 a 10,Paul Feig,"Comédia, Romance"
Mais que Vencedores,7.722,0 a 10,Alex Kendrick,Drama
Loucademia de Polícia 3: De Volta ao Treinamento,5.798,0 a 10,Jerry Paris,"Comédia, Crime"
A Babá: O Chamado das Sombras,6.433,0 a 10,Svyatoslav Podgaevsky,Terror
"Cara, Cadê Meu Carro?",5.54,0 a 10,Danny Leiner,"Comédia, Romance"
"Dois é Bom, Três é Demais",5.602,0 a 10,Anthony Russo,"Comédia, Romance"
O Escorpião Rei 3: Batalha Pela Redenção,4.6,0 a 10,Roel Reiné,"Ação, Aventura, Fantasia, Drama"
Dançando na TV,6.2,0 a 10,Alan Metter,"Comédia, Família, Música, Romance"
A Rainha dos Condenados,6.082,0 a 10,Michael Rymer,"Fantasia, Terror, Romance"
1984,6.817,0 a 10,Michael Radford,"Drama, Ficção científica, Romance"
Licorice Pizza,6.977,0 a 10,Paul Thomas Anderson,"Drama, Comédia, Romance"
Um Conto Americano 4: O Mistério do Monstro da Noite,6.354,0 a 10,Larry Latham,"Aventura, Fantasia, Animação, Mistério, Família"
Liga da Justiça x RWBY: Super-Heróis e Caçadores - Parte 2,6.809,0 a 10,Kerry Shawcross,"Animação, Ação, Fantasia, Aventura"
"Eu, Você e a Garota Que Vai Morrer",7.54,0 a 10,Alfonso Gomez-Rejon,"Drama, Comédia"
Venom,5.464,0 a 10,Jim Gillespie,"Terror, Thriller"
Christine: O Carro Assassino,6.85,0 a 10,John Carpenter,Terror
O Vento e o Leão,6.557,0 a 10,John Milius,Aventura
A Espinha do Diabo,7.3,0 a 10,Guillermo del Toro,"Fantasia, Drama, Terror, Thriller"
Diário de um Banana 2: Rodrick é o Cara,6.652,0 a 10,David Bowers,"Família, Comédia"
Um Homem Fora de Série,6.9,0 a 10,Barry Levinson,Drama
A Cidadela dos Robinsons,6.9,0 a 10,Ken Annakin,"Aventura, Família"
O Diário de Uma Babá,6.4,0 a 10,Shari Springer Berman,"Comédia, Drama, Romance"
Sr. Ninguém,7.82,0 a 10,Jaco Van Dormael,"Ficção científica, Drama, Romance"
Forma de Vermelho,4.633,0 a 10,Yukiko Mishima,Romance
A Invasão: Ocupação Alienígena,6.2,0 a 10,Luke Sparke,"Ficção científica, Ação"
Amor Fora da Lei,6.121,0 a 10,David Lowery,"Crime, Drama, Romance"
O Rito da Dança,6.8,0 a 10,Erica Tremblay,Drama
Selvagem,5.546,0 a 10,Steve 'Spaz' Williams,"Família, Animação"
Grave,7.053,0 a 10,Julia Ducournau,"Drama, Terror"
A Casa das Coelhinhas,5.656,0 a 10,Fred Wolf,"Romance, Comédia"
Mishima: Uma Vida em Quatro Tempos,7.8,0 a 10,Paul Schrader,Drama
O Último Matador,6.328,0 a 10,Walter Hill,"Crime, Ação"
Meninos de Deus,6.6,0 a 10,Peter Care,"Comédia, Drama"
A Batalha dos Três Reinos II,7.292,0 a 10,John Woo,"Ação, Aventura, Drama, História, Guerra"
Vingança,5.5,0 a 10,Walter Hill,"Ação, Crime, Thriller"
De Repente uma Família,7.523,0 a 10,Sean Anders,"Comédia, Drama"
Sol Vermelho,6.946,0 a 10,Terence Young,Faroeste
A Menina e o Porquinho,6.207,0 a 10,Gary Winick,"Comédia, Família, Fantasia"
Um Ato de Coragem,7.112,0 a 10,Nick Cassavetes,"Drama, Thriller, Crime"
Nova Ordem,7.434,0 a 10,Park Hoon-jung,"Thriller, Crime, Drama"
Tirando a Maior Onda: O Filme,6.6,0 a 10,Chris Henchy,Comédia
Um estado de Liberdade,6.748,0 a 10,Gary Ross,"Ação, Drama, História, Guerra"
Fruitvale Station: A Última Parada,7.375,0 a 10,Ryan Coogler,Drama
Khumba,5.998,0 a 10,Anthony Silverston,"Animação, Aventura, Família"
Robin Hood de Chicago,6.1,0 a 10,Gordon Douglas,"Música, Comédia, Crime"
O Ritmo da Vingança,5.521,0 a 10,Reed Morano,"Ação, Thriller"
Crimes do Futuro,6.069,0 a 10,David Cronenberg,"Ficção científica, Terror, Drama"
Team America - Detonando o Mundo,6.709,0 a 10,Trey Parker,"Aventura, Ação, Comédia"
7 Desejos,5.7,0 a 10,John R. Leonetti,"Terror, Thriller, Fantasia"
Heavy Metal: Universo em Fantasia,6.491,0 a 10,Gerald Potterton,"Animação, Ficção científica, Aventura, Fantasia, Música"
A Coisa,5.917,0 a 10,Larry Cohen,"Terror, Ficção científica, Comédia"
Meninas Malvadas 2,5.213,0 a 10,Melanie Mayron,Comédia
O Dossiê Pelicano,6.599,0 a 10,Alan J. Pakula,Thriller
Autoconfiança,6.0,0 a 10,Jake Johnson,"Comédia, Thriller"
Bonnie e Clyde: Uma Rajada de Balas,7.5,0 a 10,Arthur Penn,"Crime, Drama"
O Tutor,6.372,0 a 10,Jordan Ross,"Mistério, Thriller, Ação"
Medidas Extremas,6.0,0 a 10,Michael Apted,"Drama, Thriller"
Red Stone: Caçada Mortal,5.6,0 a 10,Derek Presley,"Ação, Crime, Mistério, Thriller, Drama"
Stree,6.913,0 a 10,Amar Kaushik,"Terror, Comédia"
Os Novos Vingadores: Heróis do Amanhã,6.917,0 a 10,Jay Oliva,"Animação, Família, Ação, Aventura, Ficção científica"
Deixe-o Partir,6.8,0 a 10,Thomas Bezucha,"Thriller, Crime, Faroeste"
Ainda Estou Aqui,7.368,0 a 10,Arie Posin,"Romance, Ficção científica, Drama"
O Grande Mauricinho,6.8,0 a 10,Toby Genkel,"Animação, Aventura, Comédia, Família, Fantasia"
Homo Eroticus,4.8,0 a 10,Marco Vicario,Comédia
我的爷爷,0.0,0 a 10,Zheng Chunyu,"Drama, Família, Guerra"
O Clube das Crianças Feias,6.444,0 a 10,Jonathan Elbers,"Cinema TV, Ação, Aventura, Família, Ficção científica"
O Chamado,7.1,0 a 10,Hideo Nakata,"Terror, Thriller"
Informante,5.9,0 a 10,Michael Oblowitz,"Thriller, Ação, Mistério, Crime"
O Sorriso de Monalisa,6.934,0 a 10,Mike Newell,"Drama, História, Romance"
De Férias da Família,5.928,0 a 10,John Hamburg,Comédia
Thanatomorphose,5.686,0 a 10,Éric Falardeau,Terror
Inocência,7.643,0 a 10,Park Sang-hyeon,"Crime, Thriller"
Perdedores e Vencedores,6.9,0 a 10,Sammo Hung,"Ação, Aventura, Comédia, Crime"
Agatha e a Verdade do Crime,6.296,0 a 10,Terry Loane,"Drama, Mistério"
Dates de Formatura,5.114,0 a 10,Kim O. Nguyen,Comédia
O Lugar Prometido em Nossa Juventude,6.562,0 a 10,Makoto Shinkai,"Animação, Aventura, Drama, Romance, Ficção científica"
Parque do Terror,5.973,0 a 10,Simon Sandquist,Terror
Fairy Tail: Dragon Cry,6.6,0 a 10,Tatsuma Minamikawa,"Ação, Aventura, Comédia, Fantasia, Animação"
A Magia da Vida,7.115,0 a 10,Brent Shields,"Drama, Romance, Cinema TV"
Trinity Ainda é Meu Nome,7.432,0 a 10,Enzo Barboni,"Comédia, Faroeste"
Sur les chemins noirs,6.46,0 a 10,Denis Imbert,Drama
Wyatt Earp,6.762,0 a 10,Lawrence Kasdan,"Faroeste, Drama, Ação, Aventura"
Queime Depois de Ler,6.652,0 a 10,Ethan Coen,"Comédia, Drama"
A Última Sessão de Freud,6.5,0 a 10,Matt Brown,Drama
Um Herói de Brinquedo,6.043,0 a 10,Brian Levant,"Família, Comédia, Aventura"
Eu os Declaro Marido... e Larry,6.045,0 a 10,Dennis Dugan,"Comédia, Romance"
Death Note Relight 1: A Versão do Shinigami,8.064,0 a 10,Tetsuro Araki,"Cinema TV, Crime, Drama, Fantasia, Thriller, Animação"
Rio Bravo,6.821,0 a 10,John Ford,Faroeste
A Máquina Infernal,6.279,0 a 10,Andrew Hunt,"Thriller, Mistério"
O Amor Mandou Mensagem,6.674,0 a 10,Jim Strouse,"Romance, Drama, Comédia"
Terror no Pântano,5.771,0 a 10,Adam Green,"Comédia, Terror"
Menudas piezas,7.148,0 a 10,Nacho G. Velilla,Comédia
Coração de Tinta: O Livro Mágico,6.294,0 a 10,Iain Softley,"Aventura, Família, Fantasia"
Pecados Íntimos,7.097,0 a 10,Todd Field,"Drama, Romance"
Imperdoável,7.446,0 a 10,Nora Fingscheidt,"Drama, Crime"
Broker - Uma Nova Chance,7.166,0 a 10,Hirokazu Kore-eda,"Drama, Comédia, Crime"
Breakin',6.747,0 a 10,Joel Silberg,"Música, Drama, Romance"
처제의 유혹,0.0,0 a 10,Park Sun-Uk,Romance
Amor Estranho Amor,5.673,0 a 10,Walter Hugo Khouri,"Drama, História"
Um Natal com Teddy,7.1,0 a 10,Andrea Eckerbom,"Família, Aventura, Fantasia"
Pacto com o demônio: Não diga que ele não te avisou,5.976,0 a 10,Alex Herron,"Terror, Thriller"
Sisterhood of Secrets,0.0,0 a 10,Dylan Vox,"Cinema TV, Thriller"
Ponto de Partida,6.116,0 a 10,Timothy Linh Bui,Drama
As Garotinhas do Papai,6.885,0 a 10,Tyler Perry,"Comédia, Drama, Romance"
A Hora do Lobisomem,6.544,0 a 10,Daniel Attias,Terror
Nosferatu,7.7,0 a 10,F. W. Murnau,Terror
南洋十大邪術,5.0,0 a 10,Cash Chin Man-Kei,"Terror, Ação, Ficção científica"
Kulong,5.5,0 a 10,Sigrid Polon,Drama
First Love: Descobrindo o Amor,5.68,0 a 10,A.J. Edwards,"Romance, Drama"
鬼打鬼,6.623,0 a 10,Sammo Hung,"Ação, Comédia, Fantasia, Terror"
Cavalo de Guerra,7.3,0 a 10,Steven Spielberg,"Guerra, História, Aventura"
Guerra e Paz,6.6,0 a 10,King Vidor,"Guerra, Romance, Drama, História"
A Noite do Iguana,7.135,0 a 10,John Huston,"Drama, Romance"
Oliver e Sua Turma,6.719,0 a 10,George Scribner,"Animação, Comédia, Família"
O Poder e a Lei,7.209,0 a 10,Brad Furman,"Crime, Drama, Thriller"
Brinquedo Assassino,5.96,0 a 10,Lars Klevberg,"Terror, Thriller"
Tripla Ameaça,6.4,0 a 10,Jesse V. Johnson,"Thriller, Ação"
Maxxie LaWow: Drag Super-shero,0.0,0 a 10,Anthony Hand,"Comédia, Fantasia, Animação"
A Melhor Casa Suspeita do Texas,6.128,0 a 10,Colin Higgins,Comédia
Kate & Leopold,6.3,0 a 10,James Mangold,"Romance, Comédia, Fantasia"
Sem Novidade no Front,7.758,0 a 10,Lewis Milestone,"Drama, Guerra"
O Sono da Morte,6.495,0 a 10,Mike Flanagan,"Drama, Fantasia, Terror, Thriller"
Um Violinista no Telhado,7.685,0 a 10,Norman Jewison,"Drama, Romance"
Hop: Rebelde Sem Páscoa,5.75,0 a 10,Tim Hill,"Animação, Comédia, Família"
Burlesque,7.197,0 a 10,Steve Antin,"Drama, Romance"
Viciados em Amor,6.109,0 a 10,Rebecca Miller,"Romance, Comédia, Drama"
Angelo,0.0,0 a 10,Helias Doulis,Drama
Enquanto Ela Está Fora,5.276,0 a 10,Susan Montford,"Drama, Terror, Thriller"
O Vento Será Tua Herança,7.706,0 a 10,Stanley Kramer,Drama
Pais & Filhos,7.647,0 a 10,Hirokazu Kore-eda,Drama
ಡಿಟೆಕ್ವೀವ್ ತೀಕ್ಷ್ಣ,0.0,0 a 10,Diretor não encontrado,"Crime, Thriller, Ação"
Santa Sangre,7.1,0 a 10,Alejandro Jodorowsky,"Drama, Terror, Thriller"
O Preço Que Pagamos,5.908,0 a 10,Ryûhei Kitamura,"Ação, Thriller, Mistério, Crime, Terror"
내 아내의 언니,5.1,0 a 10,Lee Sang-woo,"Romance, Família, Drama"
Frozen: Febre Congelante,6.835,0 a 10,Jennifer Lee,"Animação, Família, Aventura, Comédia"
Mukidi,4.2,0 a 10,Anggy Umbara,Comédia
Salomão e a Rainha de Sabá,6.3,0 a 10,King Vidor,"História, Romance"
Conexão Perigosa,5.7,0 a 10,Robert Luketic,"Drama, Thriller"
Pompeia,5.539,0 a 10,Paul W. S. Anderson,"Ação, Aventura, História, Romance, Drama"
A História Pessoal de David Copperfield,6.5,0 a 10,Armando Iannucci,Comédia
Relatos Selvagens,7.9,0 a 10,Damián Szifron,"Drama, Thriller, Comédia"
Os Jogos no Refúgio das Fadas,7.0,0 a 10,Bradley Raymond,"Animação, Família"
Te Peguei!,6.706,0 a 10,Jeff Tomsic,"Comédia, Ação"
ஜெயிலர்,6.715,0 a 10,Nelson Dilipkumar,"Ação, Crime, Thriller, Comédia, Aventura"
Hell House LLC II: The Abaddon Hotel,5.592,0 a 10,Stephen Cognetti,"Terror, Mistério"
Monte Carlo,6.566,0 a 10,Thomas Bezucha,"Aventura, Comédia, Romance"
Astrakan 79,0.0,0 a 10,Catarina Mourão,Documentário
Sangue no Gelo,6.282,0 a 10,Scott Walker,"Thriller, Crime"
RoboCop 3,4.827,0 a 10,Fred Dekker,"Ação, Aventura, Crime, Ficção científica, Thriller"
Transformers: Rise of the Beasts 3,0.0,0 a 10,Diretor não encontrado,"Ação, Aventura, Ficção científica, Fantasia"
Diário de um Banana: Caindo na Estrada,5.31,0 a 10,David Bowers,"Comédia, Família"
Não Abra!,5.881,0 a 10,Bishal Dutta,"Terror, Mistério"
관음증,3.7,0 a 10,Lee Sang-Bin,Romance
Castle Falls,6.1,0 a 10,Dolph Lundgren,"Ação, Crime, Thriller"
O Tigre e o Dragão: A Espada do Destino,6.109,0 a 10,Yuen Wo-Ping,"Ação, Aventura, Drama"
Viveiro,6.063,0 a 10,Lorcan Finnegan,"Ficção científica, Thriller, Mistério, Terror"
Inimigo Mortal,5.9,0 a 10,Leo Zhang,"Ficção científica, Ação, Aventura, Thriller"
Cônicos e Cômicos,5.365,0 a 10,Steve Barron,"Comédia, Ficção científica, Família"
Carruagens de Fogo,6.8,0 a 10,Hugh Hudson,"Drama, História"
Sequestro no Mar Vermelho,7.385,0 a 10,Dante Lam Chiu-Yin,"Ação, Thriller, Guerra, Aventura"
Superman II: A Aventura Continua,6.732,0 a 10,Richard Lester,"Ficção científica, Ação, Aventura"
Amor à Queima-Roupa,7.536,0 a 10,Tony Scott,"Ação, Crime, Romance"
Cinzas,5.856,0 a 10,Erdem Tepegöz,"Romance, Drama, Fantasia"
Novos Ricos,5.758,0 a 10,Julien Royal,"Comédia, Romance"
Yu-Gi-Oh! O Lado Negro das Dimensões,7.589,0 a 10,Satoshi Kuwabara,"Aventura, Animação"
Violência Gratuita,7.315,0 a 10,Michael Haneke,"Drama, Terror, Thriller"
Uma Nova Chance,6.349,0 a 10,Peter Segal,"Romance, Comédia"
Fora de Controle,6.26,0 a 10,Roger Michell,"Thriller, Ação, Drama"
Toolbox Murders,5.7,0 a 10,Tobe Hooper,"Terror, Mistério"
"Fullmetal Alchemist, o Filme: O Conquistador de Shamballa",7.239,0 a 10,Seiji Mizushima,"Ação, Aventura, Animação, Drama"
Never Sleep Again: The Elm Street Legacy,7.809,0 a 10,Daniel Farrands,Documentário
Dr. Dolittle 3,5.1,0 a 10,Rich Thorne,"Comédia, Família, Fantasia"
Força Aérea Um,6.476,0 a 10,Wolfgang Petersen,"Ação, Thriller"
Nikita: Criada para Matar,7.102,0 a 10,Luc Besson,"Ação, Thriller"
"Roger, O Conquistador",6.122,0 a 10,Dylan Kidd,"Comédia, Drama"
Elizabeth,7.169,0 a 10,Shekhar Kapur,"Drama, História"
Trocados,6.406,0 a 10,McG,"Comédia, Fantasia, Família"
Uma Ressaca de 9 Meses,7.698,0 a 10,Gustavo Loza,"Comédia, Romance"
Os 800,6.927,0 a 10,Guan Hu,"Guerra, História, Drama, Ação"
Contos do Além,6.853,0 a 10,Freddie Francis,Terror
Pemandi Jenazah,6.9,0 a 10,Hadrah Daeng Ratu,"Terror, Drama, Thriller"
Italiano para Principiantes,6.313,0 a 10,Lone Scherfig,"Comédia, Drama, Romance"
Luzes no Céu: Fireworks,6.62,0 a 10,Akiyuki Shinbo,"Animação, Drama, Fantasia"
Agora e Sempre,6.9,0 a 10,Lesli Linka Glatter,"Comédia, Drama, Romance"
Táxi 2,6.248,0 a 10,Gérard Krawczyk,"Ação, Comédia"
Dias Selvagens,7.309,0 a 10,Wong Kar-wai,"Crime, Drama, Romance"
O Último Mercenário,6.5,0 a 10,David Charhon,"Ação, Comédia"
엄마친구들,5.6,0 a 10,Lee Ri-dan,Romance
Álbum de Família,6.853,0 a 10,John Wells,"Comédia, Drama"
慈禧秘密生活,5.813,0 a 10,Andrew Lau Wai-Keung,"Drama, História"
Curtindo a Liberdade,6.222,0 a 10,Andy Cadiff,"Comédia, Romance"
Toy Story: Esquecidos Pelo Tempo,7.01,0 a 10,Steve Purcell,"Animação, Família, Aventura, Comédia"
Nova Ordem Espacial,7.078,0 a 10,Jo Sung-hee,"Drama, Fantasia, Ficção científica"
Hair,7.299,0 a 10,Miloš Forman,"Música, Drama, Comédia"
花と蛇　白衣縄奴隷,5.9,0 a 10,Shōgorō Nishimura,"Thriller, Drama, Terror"
Hellraiser: O Mundo do Inferno,4.781,0 a 10,Rick Bota,"Terror, Fantasia, Ficção científica"
O Franco Atirador,8.006,0 a 10,Michael Cimino,"Drama, Guerra"
Um Fascinante Novo Mundo,6.966,0 a 10,Mona Fastvold,"Romance, Drama, Faroeste"
Vidas em Jogo,7.568,0 a 10,David Fincher,"Drama, Thriller, Mistério"
Renegados,5.744,0 a 10,Daniel Zirilli,"Ação, Crime, Thriller"
RRRrrrr!!! - Na Idade da Pedra,6.3,0 a 10,Alain Chabat,Comédia
Heróis,6.146,0 a 10,Paul McGuigan,"Ficção científica, Ação, Aventura, Thriller"
Hormônios à Flor da Pele,5.799,0 a 10,Granz Henman,Comédia
Parachute,6.813,0 a 10,Brittany Snow,"Drama, Romance"
La casa,6.857,0 a 10,Álex Montoya,Drama
Selena Gomez: Minha Mente e Eu,8.149,0 a 10,Alek Keshishian,"Documentário, Música"
Lobisomem: A Besta Entre Nós,5.879,0 a 10,Louis Morneau,"Drama, Terror, Thriller"
Um Maluco no Golfe,6.638,0 a 10,Dennis Dugan,Comédia
A Guerra dos Monstros,6.7,0 a 10,Ishirō Honda,"Ficção científica, Ação"
O Parque Macabro,6.953,0 a 10,Herk Harvey,"Terror, Mistério"
Speed Racer,6.275,0 a 10,Lana Wachowski,"Família, Ação, Aventura, Comédia"
Fugindo da Morte,5.1,0 a 10,Sam Curtain,Terror
Mais que Amigos,6.8,0 a 10,Nicholas Stoller,"Comédia, Romance"
Les Kaïra,5.039,0 a 10,Franck Gastambide,Comédia
Detetive Knight: Redenção,5.541,0 a 10,Edward Drake,"Ação, Thriller"
Halloween II,5.3,0 a 10,Rob Zombie,Terror
Um Salão do Barulho 3,6.3,0 a 10,Malcolm D. Lee,"Comédia, Drama"
O Inquilino,7.6,0 a 10,Roman Polanski,"Thriller, Terror, Mistério"
Survivre,3.8,0 a 10,Frédéric Jardin,"Aventura, Thriller, Ação, Ficção científica"
The Superdeep,6.026,0 a 10,Arseny Syukhin,"Terror, Ficção científica, Thriller"
Mistério em Alto Mar,4.924,0 a 10,Alessio Liguori,"Thriller, Drama"
Tótem,6.875,0 a 10,Lila Avilés,"Drama, Comédia"
Pedro Coelho,6.691,0 a 10,Will Gluck,"Animação, Aventura, Família"
Clube dos Cinco,7.745,0 a 10,John Hughes,"Comédia, Drama"
Я буду жить,6.3,0 a 10,Eduard Bordukov,"Drama, Romance"
Jolt: Fúria Fatal,6.594,0 a 10,Tanya Wexler,"Ação, Thriller"
Queen: Days of Our Lives,8.138,0 a 10,Matt O'Casey,"Música, Documentário"
A Elefanta do Mágico,6.91,0 a 10,Wendy Rogers,"Animação, Aventura, Família, Fantasia, Comédia"
O Livro de Daniel,7.0,0 a 10,Anna Zielinski,"Fantasia, Drama"
Nas Profundezas do Mar sem Fim,6.497,0 a 10,Ulu Grosbard,"Drama, Mistério"
A Casa do Terror,6.689,0 a 10,Scott Beck,"Terror, Thriller"
Je ne suis pas un héros,6.116,0 a 10,Rudy Milstein,Comédia
Mulher Nota 1000,6.528,0 a 10,John Hughes,"Comédia, Fantasia, Ficção científica"
Scooby-Doo! Gostosuras ou Travessuras,7.056,0 a 10,Audie Harrison,"Aventura, Mistério, Comédia, Animação, Família"
Annapolis,6.839,0 a 10,Justin Lin,"Drama, Ação"
Tiro e Queda,5.894,0 a 10,Kirk Wong Chi-Keung,"Ação, Aventura, Comédia, Thriller, Crime, Drama"
Kingdom II: Far and Away,7.086,0 a 10,Shinsuke Sato,"Ação, Aventura, Guerra"
Deixa Rolar,5.88,0 a 10,Justin Reardon,"Comédia, Romance"
Tina - A Verdadeira História de Tina Turner,7.102,0 a 10,Brian Gibson,"Drama, Música, História"
Duas Garotas Românticas,7.7,0 a 10,Jacques Demy,"Romance, Comédia, Drama"
Paixão Mortal,5.953,0 a 10,Malik Bader,Thriller
Sabotagem,5.588,0 a 10,David Ayer,"Ação, Drama, Thriller, Crime"
