id,titulo,nota,tipo de nota,diretor
2722,Doido para Brigar... Louco para Amar,6.128,0 a 10,James Fargo
2723,Dois Caras Legais,7.118,0 a 10,Shane Black
2724,Dois Doidões em Harvard,6.301,0 a 10,Jesse Dylan
2725,Dois Irmãos: Uma Jornada Fantástica,7.688,0 a 10,Dan Scanlon
2726,Dois Lados do Amor,6.188,0 a 10,Ned Benson
2727,Dois Papas,7.499,0 a 10,Fernando Meirelles
2728,Dois Parceiros em Apuros,5.6,0 a 10,Martha Coolidge
2729,Dois Policiais em Apuros,6.041,0 a 10,Peter Hyams
2730,Dois Tiras Fora de Ordem,6.964,0 a 10,Enzo Barboni
2731,Dois Velhos Mais Rabugentos,6.5,0 a 10,Howard Deutch
2732,Dois Velhos Rabugentos,6.6,0 a 10,Donald Petrie
2733,"Dois é Bom, Três é Demais",5.602,0 a 10,Anthony Russo
2734,Dolce... calda Lisa,4.8,0 a 10,Adriano Tagliavia
2735,Domínio: Prequela do Exorcista,5.377,0 a 10,Paul Schrader
2736,Don Juan DeMarco,6.7,0 a 10,Jeremy Leven
2737,Don't Look Away,4.804,0 a 10,Michael Bafaro
2738,Don't Look at the Demon,6.8,0 a 10,Brando Lee
2739,Don't Sell My Baby,6.375,0 a 10,Roxanne Boisvert
2740,Donnie Brasco,7.54,0 a 10,Mike Newell
2741,Donnie Darko,4.4,0 a 10,Richard Kelly
2742,Donzela,7.073,0 a 10,Juan Carlos Fresnadillo
2743,Don’t Look Up: Não Olhe Para Cima,4.1,0 a 10, Adam McKay
2744,Doom: A Porta do Inferno,5.141,0 a 10,Andrzej Bartkowiak
2745,Doom: Geração Maldita,6.418,0 a 10,Gregg Araki
2746,Door II: Tôkyô Diary,6.4,0 a 10,Banmei Takahashi
2747,Dora e a Cidade Perdida,6.655,0 a 10,James Bobin
2748,Dora: Diga Hello para a Aventura,7.444,0 a 10,Don Kim
2749,Doraemon the Movie: Ilha do Tesouro de Nobita,7.227,0 a 10,Kazuaki Imai
2750,Dormindo com o Inimigo,6.5,0 a 10,Joseph Ruben
2751,Dose Dupla,6.541,0 a 10,Baltasar Kormákur
2752,Dottie Vs The Future,0.0,0 a 10,DatOneHugoFan
2753,Dou-lhes um Ano,5.522,0 a 10,Dan Mazer
2754,Doug: O Filme,5.5,0 a 10,Maurice Joyce
2755,Doutor Estranho,7.425,0 a 10,Scott Derrickson
2756,Doutor Estranho no Multiverso da Loucura,7.287,0 a 10,Sam Raimi
2757,Doutor Jivago,7.5,0 a 10,David Lean
2758,Doutor Sono,7.15,0 a 10,Mike Flanagan
2759,Downton Abbey,7.147,0 a 10,Michael Engler
2760,Downton Abbey II: Uma Nova Era,7.2,0 a 10,Simon Curtis
2761,Downtown Owl: Uma Nova Vida,5.613,0 a 10,Hamish Linklater
2762,Doze Homens e Outro Segredo,6.568,0 a 10,Steven Soderbergh
2763,Doze é Demais,6.29,0 a 10,Shawn Levy
2764,Doze é Demais 2,6.163,0 a 10,Adam Shankman
2765,Dr. Dolittle,5.707,0 a 10,Betty Thomas
2766,Dr. Dolittle 2,5.309,0 a 10,Steve Carr
2767,Dr. Dolittle 3,5.1,0 a 10,Rich Thorne
2768,Dr. Fantástico,8.118,0 a 10,Stanley Kubrick
2769,Dracula 3000,2.771,0 a 10,Darrell James Roodt
2770,Dracula 3D,3.398,0 a 10,Dario Argento
2771,Dracula: A História Nunca Contada,6.4,0 a 10,Gary Shore
2772,Drag is for Everyone,0.0,0 a 10,David Ng
2773,Dragon Ball GT: O Legado de um Herói,6.8,0 a 10,Osamu Kasai
2774,Dragon Ball Super: Super Hero,7.898,0 a 10,Tetsuro Kodama
2775,Dragon Ball Z: A Batalha dos Deuses,6.791,0 a 10,Masahiro Hosoda
2776,Dragon Ball Z: A Batalha nos Dois Mundos,7.077,0 a 10,Yoshihiro Ueda
2777,Dragon Ball Z: A Árvore do Poder,6.471,0 a 10,Daisuke Nishio
2778,"Dragon Ball Z: Bardock, O Pai de Goku",7.5,0 a 10,Mitsuo Hashimoto
2779,Dragon Ball Z: Devolva-me Gohan,6.738,0 a 10,Daisuke Nishio
2780,"Dragon Ball Z: Gohan e Trunks, os Guerreiros do Futuro",7.566,0 a 10,Yoshihiro Ueda
2781,"Dragon Ball Z: Goku, o Super Saiyajin",6.433,0 a 10,Mitsuo Hashimoto
2782,Dragon Ball Z: O Ataque do Dragão,7.258,0 a 10,Mitsuo Hashimoto
2783,Dragon Ball Z: O Combate Final - Bio-Broly,5.723,0 a 10,Yoshihiro Ueda
2784,Dragon Ball Z: O Homem Mais Forte do Mundo,6.498,0 a 10,Daisuke Nishio
2785,Dragon Ball Z: O Plano Para Erradicar os Saiyajins,7.1,0 a 10,Yoshihiro Ueda
2786,Dragon Ball Z: O Poder Invencível,7.209,0 a 10,Shigeyasu Yamauchi
2787,Dragon Ball Z: O Renascimento de Freeza,6.835,0 a 10,Tadayoshi Yamamuro
2788,Dragon Ball Z: O Retorno de Cooler,6.429,0 a 10,Daisuke Nishio
2789,Dragon Ball Z: O Retorno do Guerreiro Lendário,6.719,0 a 10,Shigeyasu Yamauchi
2790,Dragon Ball Z: O Retorno dos Andróides,6.845,0 a 10,Daisuke Nishio
2791,Dragon Ball Z: Uma Nova Fusão,7.509,0 a 10,Shigeyasu Yamauchi
2792,Dragon Ball Z: Uma Vingança Para Freeza,7.0,0 a 10,Mitsuo Hashimoto
2793,Dragon Ball Z: Yo! O Retorno de Son Goku e seus Amigos!,6.371,0 a 10,Yoshihiro Ueda
2794,Dragon Ball: A Bela Adormecida no Castelo do Diabo,6.6,0 a 10,Daisuke Nishio
2795,Dragon Ball: A Lenda de Shenlong,6.8,0 a 10,Daisuke Nishio
2796,Dragon Ball: Episódio de Bardock,6.9,0 a 10,Yoshihiro Ueda
2797,Dragon Ball: Uma Aventura Mística,6.8,0 a 10,Kazuhisa Takenouchi
2798,Dragon Tiger Gate,6.617,0 a 10,Wilson Yip
2799,Dragonball Evolution,2.896,0 a 10,James Wong
2800,Dragão: A História de Bruce Lee,6.887,0 a 10,Rob Cohen
2801,Dragões - A Origem das Corridas de Dragão,7.2,0 a 10,Elaine Bogan
2802,Dragões da Violência,6.5,0 a 10,Samuel Fuller
2803,Dragões em Dose Dupla,6.74,0 a 10,Ringo Lam
2804,Dragões: O Presente do Fúria da Noite,7.164,0 a 10,Tom Owens
2805,Dream Lover,5.9,0 a 10,Nicholas Kazan
2806,Dreamgirls: Em Busca de um Sonho,6.749,0 a 10,Bill Condon
2807,Dredd: O Juiz do Apocalipse,6.831,0 a 10,Pete Travis
2808,Driblando o Destino,6.309,0 a 10,Gurinder Chadha
2809,Drifter,5.714,0 a 10,Hannes Hirsch
2810,Drifting Home,7.4,0 a 10,Hiroyasu Ishida
2811,Drive,7.581,0 a 10,Nicolas Winding Refn
2812,Drive My Car,7.412,0 a 10,Ryūsuke Hamaguchi
2813,Drugstore Cowboy,7.087,0 a 10,Gus Van Sant
2814,Druk: Mais uma Rodada,7.643,0 a 10,Thomas Vinterberg
2815,Drużyna A(A),0.0,0 a 10,Daniel Jaroszek
2816,Drácula,7.163,0 a 10,Tod Browning
2817,Drácula 2000,5.258,0 a 10,Patrick Lussier
2818,Drácula de Bram Stoker,7.45,0 a 10,Francis Ford Coppola
2819,Drácula – Ele Ainda Está Vivo,5.189,0 a 10,Maximilian Elfeldt
2820,Drácula: A Última Viagem do Deméter,6.9,0 a 10,André Øvredal
2821,"Drácula: Morto, mas Feliz",6.075,0 a 10,Mel Brooks
2822,Drácula: O Príncipe das Trevas,6.7,0 a 10,Terence Fisher
2823,Duas Garotas Românticas,7.7,0 a 10,Jacques Demy
2824,Duas Mulheres,7.837,0 a 10,Vittorio De Sica
2825,Duas Rainhas,6.568,0 a 10,Josie Rourke
2826,Duas Vidas,6.719,0 a 10,Jon Turteltaub
2827,Dublê de Anjo,7.6,0 a 10,Tarsem Singh
2828,Dublê de Corpo,6.759,0 a 10,Brian De Palma
2829,Duchess,5.8,0 a 10,Neil Marshall
2830,"DuckTales, O Filme: O Tesouro da Lâmpada Perdida",6.7,0 a 10,Bob Hathcock
2831,Duelo de Irmãos – A História de Adidas e Puma,7.058,0 a 10,Oliver Dommenget
2832,Duelo de Titãs,7.629,0 a 10,Boaz Yakin
2833,Duma,7.3,0 a 10,Carroll Ballard
2834,Dumbo,7.005,0 a 10,Ben Sharpsteen
2835,Dumplin',6.793,0 a 10,Anne Fletcher
2836,Duna,4.8,0 a 10, Denis Villeneuve
2837,Duna: Parte Dois,4.5,0 a 10, Denis Villeneuve
2838,Duna: Parte Três,4.8,0 a 10, Denis Villeneuve
2839,Dungeons & Dragons 2: O Poder Maior,4.5,0 a 10,Gerry Lively
2840,Dungeons & Dragons: A Aventura Começa Agora,4.372,0 a 10,Courtney Solomon
2841,Dungeons & Dragons: Honra Entre Rebeldes,4.1,0 a 10, Jonathan Goldstein & John Francis Daley
2842,Dungeons & Dragons: Nova Aventura,4.1,0 a 10, Jonathan Goldstein & John Francis Daley
2843,Dunkirk,4.7,0 a 10, Christopher Nolan
2844,Dupla Explosiva,6.895,0 a 10,Patrick Hughes
2845,Dupla Explosiva 2: E a Primeira-Dama do Crime,6.7,0 a 10,Patrick Hughes
2846,Dupla Implacável,6.3,0 a 10,Pierre Morel
2847,Dupla Jornada,6.793,0 a 10,J.J. Perry
2848,Duplicidade,5.9,0 a 10,Tony Gilroy
2849,Duplo Impacto,6.12,0 a 10,Sheldon Lettich
2850,Durante a Tormenta,7.47,0 a 10,Oriol Paulo
2851,Duro Aprendizado,6.339,0 a 10,John Singleton
2852,Duro de Atuar,5.976,0 a 10,Eric Appel
2853,Duro de Espiar,5.383,0 a 10,Rick Friedberg
2854,Duro de Matar,7.791,0 a 10,John McTiernan
2855,Duro de Matar 2,6.952,0 a 10,Renny Harlin
2856,Duro de Matar 3: A Vingança,7.269,0 a 10,John McTiernan
2857,Duro de Matar 4.0,6.622,0 a 10,Len Wiseman
2858,Duro de Matar: Um Bom Dia para Morrer,5.335,0 a 10,John Moore
2859,Dynasty Warriors,5.966,0 a 10,Roy Chow Hin-Yeung
2860,Déjà Vu,6.864,0 a 10,Tony Scott
2861,Dìdi (弟弟),7.2,0 a 10,Sean Wang
2862,Dívida Perigosa,6.193,0 a 10,Martin Zandvliet
2863,Dívida de Sangue,6.3,0 a 10,Elliot Silverstein
2864,"E Agora, Meu Amor?",6.415,0 a 10,Andy Tennant
2865,"E Aí, Meu Irmão, Cadê Você?",7.33,0 a 10,Joel Coen
2866,E Deus Criou a Mulher,6.122,0 a 10,Roger Vadim
2867,E N V O Y,6.46,0 a 10,David Weinstein
2868,E Se Fosse Verdade,6.946,0 a 10,Mark Waters
2869,E Sua Mãe Também,7.418,0 a 10,Alfonso Cuarón
2870,E.T.: O Extraterrestre,7.519,0 a 10,Steven Spielberg
2871,EKS,2.0,0 a 10,Roman Perez Jr.
2872,EO,6.505,0 a 10,Jerzy Skolimowski
2873,Early Birds,6.1,0 a 10,Michael Steiner
2874,Eclipse Total,7.245,0 a 10,Taylor Hackford
2875,Ecos do Além,6.68,0 a 10,David Koepp
2876,Ed TV,6.0,0 a 10,Ron Howard
2877,Eddie Murphy - Sem Censura,7.256,0 a 10,Robert Townsend
2878,Eden,0.0,0 a 10,Ron Howard
2879,Edward Mãos de Tesoura,4.5,0 a 10, Tim Burton
2880,Efeito Borboleta,4.2,0 a 10,Eric Bress
2881,Efeito Borboleta 2,4.944,0 a 10,John R. Leonetti
2882,Efeito Borboleta: Revelação,5.477,0 a 10,Seth Grossman
2883,Efeito Colateral,5.76,0 a 10,Andrew Davis
2884,Efeito Dominó,6.829,0 a 10,Roger Donaldson
2885,Efeito Paradoxo,5.857,0 a 10,Scott Weintrob
2886,Ei Arnold! Na Selva: O Filme,7.58,0 a 10,Raymie Muzquiz
2887,Ei kiitos,4.9,0 a 10,Samuli Valkama
2888,Eine Armee Gretchen,5.173,0 a 10,Erwin C. Dietrich
2889,Eine Million Minuten,6.7,0 a 10,Christopher Doll
2890,Einstein e a Bomba,6.023,0 a 10,Anthony Philipson
2891,El Apocalipsis de san Juan,0.0,0 a 10,Patricio Dondo
2892,El Camino: A Breaking Bad Film,6.96,0 a 10,Vince Gilligan
2893,El Cid,6.858,0 a 10,Anthony Mann
2894,El Dorado,7.35,0 a 10,Howard Hawks
2895,El Día de los Albañiles,5.7,0 a 10,Adolfo Martínez Solares
2896,El Halcón: Sed de Venganza,8.2,0 a 10,Eduardo Valenzuela
2897,El Padrino II: Border Intrusion,6.2,0 a 10,Damian Chapa
2898,El Roomie,7.733,0 a 10,Pedro Pablo Ibarra
2899,El aroma del pasto recién cortado,0.0,0 a 10,Celina Murga
2900,El aspirante,0.0,0 a 10,Juan Gautier
2901,El candidato honesto,5.1,0 a 10,Pipe Ybarra
2902,El carnaval de las bestias,6.133,0 a 10,Paul Naschy
2903,El caso Sancho: Episodio cero,9.0,0 a 10,Margarita Luis
2904,El duelo,6.1,0 a 10,Augusto Tejada
2905,El eco,7.0,0 a 10,Tatiana Huezo
2906,El fuego que hemos construido,4.0,0 a 10,Luis Fontal
2907,El hombre del saco,6.232,0 a 10,Ángel Gómez Hernández
2908,El hombre que amaba los platos voladores,0.0,0 a 10,Diego Lerman
2909,El juego de las llaves,5.892,0 a 10,Vicente Villanueva
2910,El reinado de Antoine,0.0,0 a 10,José Luis Jiménez
2911,El salto,6.0,0 a 10,Benito Zambrano
2912,El tercer paisaje,0.0,0 a 10,Julen Etxebarria
2913,Ela,7.856,0 a 10,Spike Jonze
2914,"Ela Dança, Eu Danço",6.875,0 a 10,Anne Fletcher
2915,"Ela Dança, Eu Danço 2",6.693,0 a 10,Jon M. Chu
2916,"Ela Dança, Eu Danço 3",6.817,0 a 10,Jon M. Chu
2917,"Ela Dança, Eu Danço 4",6.92,0 a 10,Scott Speer
2918,"Ela Dança, Eu Danço 5: Tudo ou Nada",6.837,0 a 10,Trish Sie
2919,Ela Disse,7.248,0 a 10,Maria Schrader
2920,Ela e os Caras,6.464,0 a 10,Joe Nussbaum
2921,Ela é Demais,6.318,0 a 10,Robert Iscove
2922,Ela é Demais para Mim,6.5,0 a 10,Jim Field Smith
2923,Ela é a Poderosa,6.002,0 a 10,Garry Marshall
2924,Ela é o Cara,6.806,0 a 10,Andy Fickman
2925,Ele Está de Volta,6.786,0 a 10,David Wnendt
2926,Ele Não Está Tão a Fim de Você,6.554,0 a 10,Ken Kwapis
2927,Ele é Demais,6.5,0 a 10,Mark Waters
2928,Elefante,7.062,0 a 10,Gus Van Sant
2929,Eleição,7.087,0 a 10,Johnnie To
2930,Elektra,5.042,0 a 10,Rob Bowman
2931,Eles São Meus,5.2,0 a 10,Mac Alejandre
2932,Eles Vivem,7.294,0 a 10,John Carpenter
2933,Elfy: O Duende que Caiu do Céu,6.337,0 a 10,Brian Cosgrove
2934,Eli,6.006,0 a 10,Ciarán Foy
2935,Elio,0.0,0 a 10,Domee Shi
2936,Elizabeth,7.169,0 a 10,Shekhar Kapur
2937,Elizabeth Taylor - As Fitas Perdidas,7.2,0 a 10,Nanette Burstein
2938,Elizabeth: A Era de Ouro,6.72,0 a 10,Shekhar Kapur
2939,Elskling,0.0,0 a 10,Lilja Ingolfsdottir
2940,Elvira: a Rainha das Trevas,6.6,0 a 10,James Signorelli
2941,Elvis,4.4,0 a 10, Baz Luhrmann
2942,Elysium,6.51,0 a 10,Neill Blomkamp
2943,Em Algum Lugar do Passado,7.509,0 a 10,Jeannot Szwarc
2944,Em Busca da Fama,5.78,0 a 10,Joshua Caldwell
2945,Em Busca da Terra do Nunca,4.1,0 a 10,Marc Forster
2946,Em Busca de Vingança,5.744,0 a 10,Elliott Lester
2947,Em Busca do Bilhete Premiado,6.8,0 a 10,Prueksa Amaruji
2948,Em Busca do Prazer,5.2,0 a 10,Billy Kent
2949,Em Busca do Vale Encantado,7.14,0 a 10,Don Bluth
2950,Em Busca do Vale Encantado II: A Grande Aventura do Vale,6.3,0 a 10,Roy Allen Smith
2951,Em Busca do Vale Encantado V: A Ilha Misteriosa,6.2,0 a 10,Charles Grosvenor
2952,Em Busca do Vale Encantado VI: O Segredo do Rochedo,6.1,0 a 10,Charles Grosvenor
2953,Em Busca do Vale Encantado X: A Grande Migração,6.3,0 a 10,Charles Grosvenor
2954,Em Busca do Vale Encantado XIV: A Jornada dos Valentes,6.832,0 a 10,Tony Tupilano
2955,Em Chamas,7.392,0 a 10,Lee Chang-dong
2956,Em Defesa de Cristo,6.824,0 a 10,Jon Gunn
2957,Em Guerra com o Vovô,6.445,0 a 10,Tim Hill
2958,Em Nome da Honra,6.928,0 a 10,Wong Jing
2959,Em Nome do Pai,7.905,0 a 10,Jim Sheridan
2960,Em Nome do Rei,4.719,0 a 10,Uwe Boll
2961,Em Pedaços,6.907,0 a 10,Fatih Akin
2962,Em Pé de Guerra,5.1,0 a 10,Craig Gillespie
2963,Em Ritmo de Fuga,7.452,0 a 10,Edgar Wright
2964,Em Ruínas,6.717,0 a 10,Heo Myeong-haeng
2965,Em Segredo,6.2,0 a 10,Charlie Stratton
2966,Em Seu Lugar,6.174,0 a 10,Curtis Hanson
2967,Em Silêncio,8.163,0 a 10,Hwang Dong-hyuk
2968,Em Terreno Selvagem,5.142,0 a 10,Steven Seagal
2969,Em Uma Ilha Bem Distante,6.614,0 a 10,Vanessa Jopp
2970,Em um Bairro de Nova York,7.193,0 a 10,Jon M. Chu
2971,Em uma Terra Muito Distante… Havia um Crime,6.3,0 a 10,Yuichi Fukuda
2972,Emalõvi,0.0,0 a 10,Liina Trishkina-Vanhatalo
2973,Emancipation: Uma História de Liberdade,7.826,0 a 10,Antoine Fuqua
2974,Emanuelle e le porno notti nel mondo n. 2,5.1,0 a 10,Bruno Mattei
2975,Emanuelle e os Últimos Canibais,5.1,0 a 10,Joe D'Amato
2976,Emanuelle nera,4.9,0 a 10,Bitto Albertini
2977,Emboscada,5.393,0 a 10,Edward Drake
2978,Embriagado de Amor,7.142,0 a 10,Paul Thomas Anderson
2979,Emilia Pérez,8.032,0 a 10,Jacques Audiard
2980,Emily,6.976,0 a 10,Frances O'Connor
2981,"Emily, A Criminosa",6.689,0 a 10,John Patton Ford
2982,Emma,7.045,0 a 10,Autumn de Wilde
2983,Emma es Eddie: A Working Couple,5.5,0 a 10,Gábor Hörcher
2984,Emmanuelle,6.0,0 a 10,Just Jaeckin
2985,Emmanuelle 2 - Antivirgem,5.7,0 a 10,Francis Giacobetti
2986,Emmanuelle 6,4.1,0 a 10,Bruno Zincone
2987,Emmanuelle Through Time: Emmanuelle's Supernatural Sexual Activity,5.2,0 a 10,Rolfe Kanefsky
2988,Emmanuelle au 7ème ciel,5.1,0 a 10,Francis Leroi
2989,Emmanuelle in Space 4: Concealed Fantasy,5.6,0 a 10,Kevin Alber
2990,Emoji: O Filme,5.436,0 a 10,Tony Leondis
2991,Empire Queen: The Golden Age of Magic,8.0,0 a 10,Chris Dane Owens
2992,Encaixotando Helena,5.1,0 a 10,Jennifer Lynch
2993,Encantada,6.821,0 a 10,Kevin Lima
2994,Encanto,7.601,0 a 10,Byron Howard
2995,Encanto no Hollywood Bowl,7.1,0 a 10,Chris Howe
2996,Encontro Explosivo,6.216,0 a 10,James Mangold
2997,Encontro Marcado,7.34,0 a 10,Martin Brest
2998,Encontro Secreto,4.4,0 a 10,Kari Skogland
2999,Encontro de Amor,6.1,0 a 10,Wayne Wang
3000,Encontro de Casais,5.554,0 a 10,Peter Billingsley
3001,Encontros e Desencontros,4.2,0 a 10, David Mamet
3002,Encurralado,7.428,0 a 10,Steven Spielberg
3003,Ender's Game: O Jogo do Exterminador,6.595,0 a 10,Gavin Hood
3004,Endiabrado,6.058,0 a 10,Harold Ramis
3005,Energia Pura,6.987,0 a 10,Victor Salva
3006,Enfeitiçados,0.0,0 a 10,Vicky Jenson
3007,Englemageren,5.394,0 a 10,Julie R. Ølgaard
3008,Enigma,6.348,0 a 10,Michael Apted
3009,"Ennio, o Maestro",8.3,0 a 10,Giuseppe Tornatore
3010,Enola Holmes,4.2,0 a 10, Harry Bradbeer
3011,Enola Holmes 2,7.386,0 a 10,Harry Bradbeer
3012,Enquanto Ela Está Fora,5.276,0 a 10,Susan Montford
3013,Enquanto Estivermos Juntos,7.613,0 a 10,Andrew Erwin
3014,Enquanto Você Dorme,5.088,0 a 10,Andrzej Sekula
3015,Enquanto Você Dormia,7.0,0 a 10,Jon Turteltaub
3016,Enrolados,7.608,0 a 10,Byron Howard
3017,Enrolados Outra Vez: O Especial,6.813,0 a 10,Tom Caulfield
3018,Enrolados para Sempre,7.137,0 a 10,Byron Howard
3019,Enron: Os Mais Espertos da Sala,7.206,0 a 10,Alex Gibney
3020,Ensina-me a Viver,7.607,0 a 10,Hal Ashby
3021,Entergalactic,7.641,0 a 10,Fletcher Moules
3022,Entes Queridos,6.645,0 a 10,Sean Byrne
3023,Entourage: Fama e Amizade,6.23,0 a 10,Doug Ellin
3024,Entrando Numa Fria,6.675,0 a 10,Jay Roach
3025,Entrando Numa Fria Maior Ainda,6.2,0 a 10,Jay Roach
3026,Entrando Numa Fria Maior Ainda com a Família,5.645,0 a 10,Paul Weitz
3027,Entre Armas e Brinquedos,5.538,0 a 10,Ian Nelms
3028,Entre Facas e Segredos,7.847,0 a 10,Rian Johnson
3029,Entre Irmãos,7.3,0 a 10,Jim Sheridan
3030,Entre Mundos,5.1,0 a 10,Maria Pulera
3031,Entre Nesta Dança: Hip Hop no Pedaço,6.3,0 a 10,Chris Stokes
3032,Entre Quatro Paredes,6.918,0 a 10,Todd Field
3033,Entre Segredos e Mentiras,6.0,0 a 10,Andrew Jarecki
3034,Entre primas se arrima,0.0,0 a 10,Omar Saldaña
3035,Entrega Especial,7.0,0 a 10,Park Dae-min
3036,Entrega Mortal,6.095,0 a 10,Andrew Davis
3037,Entrevista com Deus,7.038,0 a 10,Perry Lang
3038,Entrevista com o Demônio,7.3,0 a 10,Cameron Cairnes
3039,Entrevista com o Vampiro,7.388,0 a 10,Neil Jordan
3040,Epidemia,6.551,0 a 10,Wolfgang Petersen
3041,Era Uma Vez Dois Irmãos,7.12,0 a 10,Jean-Jacques Annaud
3042,Era Uma Vez em Nova York,6.3,0 a 10,James Gray
3043,Era Uma Vez em Tóquio,8.2,0 a 10,Yasujirō Ozu
3044,Era Uma Vez em… Hollywood,7.44,0 a 10,Quentin Tarantino
3045,Era Uma Vez na América,8.413,0 a 10,Sergio Leone
3046,Era Uma Vez na China,7.1,0 a 10,Tsui Hark
3047,Era Uma Vez na China 2,7.1,0 a 10,Tsui Hark
3048,Era Uma Vez na China 3,6.4,0 a 10,Tsui Hark
3049,Era Uma Vez na China e na América,5.7,0 a 10,Sammo Hung
3050,Era Uma Vez um Gênio,6.881,0 a 10,George Miller
3051,Era Uma vez no México,6.297,0 a 10,Robert Rodriguez
3052,Era uma Vez em... Hollywood,4.6,0 a 10, Quentin Tarantino
3053,Era uma Vez no Oeste,8.3,0 a 10,Sergio Leone
3054,Era uma Vez um Boneco de Neve,6.94,0 a 10,Dan Abraham
3055,Era uma Vez um Deadpool,7.094,0 a 10,David Leitch
3056,Era uma Vez um Sonho,6.724,0 a 10,Ron Howard
3057,Era uma vez um Estúdio,8.332,0 a 10,Trent Correy
3058,Eragon,5.108,0 a 10,Stefen Fangmeier
3059,Erin Brockovich: Uma Mulher de Talento,7.4,0 a 10,Steven Soderbergh
3060,Ernesto e Celestine,7.8,0 a 10,Stéphane Aubier
3061,Erreplika,0.0,0 a 10,Pello Gutiérrez
3062,Erótica: Luz de Luna,5.825,0 a 10,Carlos Bolado
3063,Es por su bien,7.184,0 a 10,Alfonso Pineda Ulloa
3064,Escaflowne: A Girl in Gaea,6.717,0 a 10,Kazuki Akane
3065,Escalado para Morrer,6.1,0 a 10,Clint Eastwood
3066,Escape,1.3,0 a 10,Howard J. Ford
3067,Escape Room,6.543,0 a 10,Adam Robitel
3068,Escape Room 2: Tensão Máxima,6.56,0 a 10,Adam Robitel
3069,Escape from Germany,5.1,0 a 10,T.C. Christensen
3070,Escobar: A Traição,6.3,0 a 10,Fernando León de Aranoa
3071,Escobar: Paraíso Perdido,6.276,0 a 10,Andrea Di Stefano
3072,Escola da Morte,5.584,0 a 10,Crispian Mills
3073,Escola de Rock,7.082,0 a 10,Richard Linklater
3074,Escondidos,6.884,0 a 10,Ross Duffer
3075,Escravas da Vaidade,6.711,0 a 10,Fruit Chan
3076,Escravas do Desejo,6.299,0 a 10,Harry Kümel
3077,Escrito nas Estrelas,6.94,0 a 10,Peter Chelsom
3078,Escritores da Liberdade,7.918,0 a 10,Richard LaGravenese
3079,Escritório Sob Ataque,5.537,0 a 10,Fred Wolmarans
3080,Escuridão,5.768,0 a 10,John Fawcett
3081,Escuridão Mortal,3.927,0 a 10,Richard Crudo
3082,Ese mundo que no te da nada,0.0,0 a 10,Ernesto del Río
3083,Esfera,6.121,0 a 10,Barry Levinson
3084,Espanglês,6.0,0 a 10,James L. Brooks
3085,Espartalhões,4.047,0 a 10,Jason Friedberg
3086,Especialista em Crise,5.8,0 a 10,David Gordon Green
3087,"Espelho, Espelho Meu",5.9,0 a 10,Tarsem Singh
3088,Espelhos do Medo,6.28,0 a 10,Alexandre Aja
3089,Esperando o Sr. Guffman,6.985,0 a 10,Christopher Guest
3090,Esperança,8.391,0 a 10,Lee Joon-ik
3091,Espiral: O Legado de Jogos Mortais,5.976,0 a 10,Darren Lynn Bousman
3092,Esporte Sangrento,6.861,0 a 10,Sheldon Lettich
3093,Esposa de Mentirinha,6.693,0 a 10,Dennis Dugan
3094,Esposa e Mãe,6.1,0 a 10,Abhinay Deo
3095,Espírito de Lobo,6.524,0 a 10,Jean-Jacques Annaud
3096,Espíritos Obscuros,6.243,0 a 10,Scott Cooper
3097,Espíritos: A Morte Esta Ao Seu Lado,7.289,0 a 10,Banjong Pisanthanakun
3098,Esquadrão 6,6.342,0 a 10,Michael Bay
3099,Esquadrão Classe A,6.4,0 a 10,Joe Carnahan
3100,Esquadrão Red Tails,6.554,0 a 10,Anthony Hemingway
3101,Esquadrão Secreto,6.494,0 a 10,Ariel Schulman
3102,Esquadrão Suicida,5.919,0 a 10,David Ayer
3103,Esquadrão Suicida: Acerto de Contas,7.099,0 a 10,Sam Liu
3104,Esquadrão de Elite,6.143,0 a 10,Randy Korompis
3105,Esquadrão de Elite: Home Run,6.425,0 a 10,Benjamin Rocher
3106,Esqueceram de Mim 2: Perdido em Nova York,6.743,0 a 10,Chris Columbus
3107,Esqueceram de Mim 3,5.272,0 a 10,Raja Gosnell
3108,Esqueceram de Mim 4,4.506,0 a 10,Rod Daniel
3109,Esqueceram de Mim 5: Sozinho no Natal,5.2,0 a 10,Peter Hewitt
3110,"Esqueceram de Mim no Lar, Doce Lar",4.95,0 a 10,Dan Mazer
3111,Esquema de Risco: Operação Fortune,6.508,0 a 10,Guy Ritchie
3112,Esquentando a Relação,6.844,0 a 10,Sean Garrity
3113,Essa Louca Juventude,7.226,0 a 10,Ayan Mukerji
3114,Essa Pequena é uma Parada,7.3,0 a 10,Peter Bogdanovich
3115,Essa é Minha Vida,6.66,0 a 10,Kevin Macdonald
3116,Esse Obscuro Objeto do Desejo,7.4,0 a 10,Luis Buñuel
3117,Esses Maravilhosos Homens e suas Máquinas Voadoras,6.7,0 a 10,Ken Annakin
3118,Esta Terra é Minha Terra,6.821,0 a 10,Hal Ashby
3119,Estação Polar Zebra,6.2,0 a 10,John Sturges
3120,Estação das Chuvas,6.5,0 a 10,Anthony Chen
3121,Este é o Meu Garoto,5.808,0 a 10,Sean Anders
3122,Esto no es Hollywood (La historia inacabada de los hermanos Ibarretxe),0.0,0 a 10,Nere Falagan Martin
