id,titulo,nota,tipo de nota,diretor
259,A Cor da Noite,5.7,0 a 10,Richard Rush
260,A Cor do Dinheiro,6.855,0 a 10,Martin Scorsese
261,A Coragem de Lassie,5.7,0 a 10,Fred M. Wilcox
262,A Corrente do Bem,7.329,0 a 10,Mimi Leder
263,A Corrida Maluca,4.5,0 a 10,Jim Drake
264,A Corrida do Século,7.089,0 a 10,Blake Edwards
265,A Costela de Adão,7.1,0 a 10,George Cukor
266,A Cratera,6.7,0 a 10,Kyle Patrick Alvarez
267,A Creche do Papai,5.896,0 a 10,Steve Carr
268,A Criada,8.216,0 a 10,Park Chan-wook
269,A Criatura do Cemitério,5.281,0 a 10,Ralph S. Singleton
270,A Cruz de Ferro,7.079,0 a 10,Sam Peckinpah
271,A Crônica Francesa,7.1,0 a 10,Wes Anderson
272,A Culpa é das Estrelas,4.1,0 a 10, Josh Boone
273,A Cura,6.334,0 a 10,Gore Verbinski
274,A Dama de Ferro,4.3,0 a 10,Phyllida Lloyd
275,A Dama de Shanghai,7.352,0 a 10,Diretor não encontrado
276,A Dama e o Vagabundo,7.121,0 a 10,Hamilton Luske
277,A Dama e o Vagabundo II: As Aventuras de Banzé,6.4,0 a 10,Darrell Rooney
278,A Dama na Água,4.1,0 a 10,M. Night Shyamalan
279,A Dança dos Pássaros,6.605,0 a 10,Laurel Parmet
280,A Dança dos Vampiros,6.944,0 a 10,Roman Polanski
281,A Descoberta Perfeita,6.122,0 a 10,Numa Perrier
282,A Different Man,0.0,0 a 10,Aaron Schimberg
283,A Dinastia da Espada,4.994,0 a 10,Patrick Leung Pak-Kin
284,A Ditadura Perfeita,7.3,0 a 10,Luis Estrada
285,A Doce Vida,8.092,0 a 10,Federico Fellini
286,A Dream Beyond the Dark,0.0,0 a 10,Laura Pellegrini
287,A Dupla Explosiva,7.427,0 a 10,Marcello Fondato
288,A Dupla Vida de Véronique,7.5,0 a 10,Krzysztof Kieślowski
289,A Duquesa,7.0,0 a 10,Saul Dibb
